grade_code,grade_name,display_order,stage,moodle_label
PRE01,Nursery,1,Pre-Primary,School
PRE02,Preschool,2,Pre-Primary,School
PRE03,LKG (Lower Kindergarten),3,Pre-Primary,School
PRE04,UKG (Upper Kindergarten),4,Pre-Primary,School
STD01,Standard 1,5,Primary,School
STD02,Standard 2,6,Primary,School
STD03,Standard 3,7,Primary,School
STD04,Standard 4,8,Primary,School
STD05,Standard 5,9,Primary,School
STD06,Standard 6,10,Upper Primary,School
STD07,Standard 7,11,Upper Primary,School
STD08,Standard 8,12,Upper Primary,School
STD09,Standard 9,13,Secondary,School
STD10,Standard 10,14,Secondary,School
STD11_SCI,Standard 11 (Science),15,Higher Secondary,School
STD11_COM,Standard 11 (Commerce),16,Higher Secondary,School
STD11_ART,Standard 11 (Arts),17,Higher Secondary,School
STD12_SCI,Standard 12 (Science),18,Higher Secondary,School
STD12_COM,Standard 12 (Commerce),19,Higher Secondary,School
STD12_ART,Standard 12 (Arts),20,Higher Secondary,School
ITI_ELEC,ITI Electrician (Vocational),21,Tech Ed,Vocational
ITI_FIT,ITI Fitter (Vocational),22,Tech Ed,Vocational
POLY_ME_Y1,Polytechnic Diploma Mechanical - Y1,23,Tech Ed,Diploma
POLY_ME_Y2,Polytechnic Diploma Mechanical - Y2,24,Tech Ed,Diploma
POLY_ME_Y3,Polytechnic Diploma Mechanical - Y3,25,Tech Ed,Diploma
POLY_CE_Y1,Polytechnic Diploma Civil - Y1,26,Tech Ed,Diploma
POLY_CE_Y2,Polytechnic Diploma Civil - Y2,27,Tech Ed,Diploma
POLY_CE_Y3,Polytechnic Diploma Civil - Y3,28,Tech Ed,Diploma
UNI_DIP_CS_Y1,Diploma in Cybersecurity & Cloud,29,Higher Ed,University
UNI_DIP_AI_Y1,Diploma in Generative AI & Prompts,30,Higher Ed,University
UNI_DIP_DM_Y1,Diploma in Digital Marketing,31,Higher Ed,University
UNI_DIP_MLT_Y1,Diploma in Medical Lab Tech (MLT) - Y1,32,Higher Ed,University
UNI_DIP_MLT_Y2,Diploma in Medical Lab Tech (MLT) - Y2,33,Higher Ed,University
NUR_GNM_Y1,GNM (General Nursing & Midwifery) - Y1,34,Higher Ed,Diploma
NUR_GNM_Y2,GNM (General Nursing & Midwifery) - Y2,35,Higher Ed,Diploma
PHA_DPHARM_Y1,D.Pharm (Diploma in Pharmacy) - Y1,36,Higher Ed,Diploma
EDU_NTT,Nursery Teacher Training (NTT),37,Higher Ed,Diploma
EDU_DELED_Y1,D.El.Ed (Diploma in Elementary Ed) - Y1,38,Higher Ed,Diploma
UNI_UG_CSE_Y1,B.Tech Computer Science (AI/ML) - Y1,39,Higher Ed,University
UNI_UG_CSE_Y2,B.Tech Computer Science (AI/ML) - Y2,40,Higher Ed,University
UNI_UG_CSE_Y3,B.Tech Computer Science (AI/ML) - Y3,41,Higher Ed,University
UNI_UG_CSE_Y4,B.Tech Computer Science (AI/ML) - Y4,42,Higher Ed,University
UNI_UG_DS_Y1,B.Sc Data Science & Analytics - Y1,43,Higher Ed,University
UNI_UG_DS_Y2,B.Sc Data Science & Analytics - Y2,44,Higher Ed,University
UNI_UG_DS_Y3,B.Sc Data Science & Analytics - Y3,45,Higher Ed,University
UNI_UG_FT_Y1,BBA Financial Technology (FinTech) - Y1,46,Higher Ed,University
UNI_UG_FT_Y2,BBA Financial Technology (FinTech) - Y2,47,Higher Ed,University
UNI_UG_FT_Y3,BBA Financial Technology (FinTech) - Y3,48,Higher Ed,University
UNI_UG_UX_Y1,B.Des UI/UX & Interaction Design - Y1,49,Higher Ed,University
UNI_UG_UX_Y2,B.Des UI/UX & Interaction Design - Y2,50,Higher Ed,University
UNI_UG_UX_Y3,B.Des UI/UX & Interaction Design - Y3,51,Higher Ed,University
UNI_UG_UX_Y4,B.Des UI/UX & Interaction Design - Y4,52,Higher Ed,University
UNI_UG_LAW_Y1,BA LL.B (Integrated Law) - Year 1,53,Higher Ed,University
UNI_UG_LAW_Y5,BA LL.B (Integrated Law) - Year 5,54,Higher Ed,University
UNI_UG_MED_Y1,MBBS (Medical) - Year 1,55,Higher Ed,University
