board_code,medium_code,grade_code,stream_code,subject_code,subject_name,subject_category,is_compulsory,is_elective,display_order,source_note
GSEB,GUJ,PRE01,GEN,ENG,English,Language,1,0,1,
GSEB,GUJ,PRE01,GEN,HIN,Hindi,Language,1,0,2,
GSEB,GUJ,PRE01,GEN,ART,Art & Craft,Co-curricular,1,0,9,
GSEB,GUJ,PRE02,GEN,ENG,English,Language,1,0,1,
GSEB,GUJ,PRE02,GEN,HIN,Hindi,Language,1,0,2,
GSEB,GUJ,PRE02,GEN,ART,Art & Craft,Co-curricular,1,0,9,
GSEB,GUJ,PRE03,GEN,ENG,English,Language,1,0,1,
GSEB,GUJ,PRE03,GEN,HIN,Hindi,Language,1,0,2,
GSEB,GUJ,PRE03,GEN,ART,Art & Craft,Co-curricular,1,0,9,
GSEB,GUJ,PRE04,GEN,ENG,English,Language,1,0,1,
GSEB,GUJ,PRE04,GEN,HIN,Hindi,Language,1,0,2,
GSEB,GUJ,PRE04,GEN,ART,Art & Craft,Co-curricular,1,0,9,
GSEB,GUJ,STD01,GEN,ENG,English,Language,1,0,1,
GSEB,GUJ,STD01,GEN,HIN,Hindi,Language,1,0,2,
GSEB,GUJ,STD01,GEN,REG_LANG,Regional Language,Language,1,0,3,
GSEB,GUJ,STD01,GEN,MATH,Mathematics,Core,1,0,4,
GSEB,GUJ,STD01,GEN,SCI,Science,Core,1,0,5,
GSEB,GUJ,STD01,GEN,SST,Social Studies,Core,1,0,6,
GSEB,GUJ,STD01,GEN,EVS,Environmental Studies,Core,1,0,7,
GSEB,GUJ,STD01,GEN,COMP,Computer Science,Elective,1,0,8,
GSEB,GUJ,STD01,GEN,ART,Art & Craft,Co-curricular,1,0,9,
GSEB,GUJ,STD01,GEN,PE,Physical Education,Co-curricular,1,0,10,
GSEB,GUJ,STD02,GEN,ENG,English,Language,1,0,1,
GSEB,GUJ,STD02,GEN,HIN,Hindi,Language,1,0,2,
GSEB,GUJ,STD02,GEN,REG_LANG,Regional Language,Language,1,0,3,
GSEB,GUJ,STD02,GEN,MATH,Mathematics,Core,1,0,4,
GSEB,GUJ,STD02,GEN,SCI,Science,Core,1,0,5,
GSEB,GUJ,STD02,GEN,SST,Social Studies,Core,1,0,6,
GSEB,GUJ,STD02,GEN,EVS,Environmental Studies,Core,1,0,7,
GSEB,GUJ,STD02,GEN,COMP,Computer Science,Elective,1,0,8,
GSEB,GUJ,STD02,GEN,ART,Art & Craft,Co-curricular,1,0,9,
GSEB,GUJ,STD02,GEN,PE,Physical Education,Co-curricular,1,0,10,
