category_code,parent_category_code,category_type,name,idnumber,path,visible,description
DRONA_TRUST,,trust,Drona Education Trust,DRONA_TRUST,Drona Education Trust,1,Root trust category.
DRONA_TRUST_GSEB,DRONA_TRUST,board,Gujarat Board Education,DRONA_TRUST_GSEB,Drona Education Trust / Gujarat Board Education,1,Board category.
DRONA_TRUST_GSEB_DPS,DRONA_TRUST_GSEB,school,Drona Public School,DRONA_TRUST_GSEB_DPS,Drona Education Trust / Gujarat Board Education / Drona Public School,1,School category.
DRONA_TRUST_GSEB_DPS_2026_2027,DRONA_TRUST_GSEB_DPS,academic_year,Academic Year 2026-2027,DRONA_TRUST_GSEB_DPS_2026_2027,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027,1,Academic year 2026-2027.
DRONA_TRUST_GSEB_DPS_2026_2027_ENG,DRONA_TRUST_GSEB_DPS_2026_2027,medium,English Medium,DRONA_TRUST_GSEB_DPS_2026_2027_ENG,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027 / English Medium,1,English Medium category for 2026-2027.
DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE01,DRONA_TRUST_GSEB_DPS_2026_2027_ENG,grade,Nursery,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE01,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027 / English Medium / Nursery,1,Nursery category.
DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE01_GEN,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE01,stream,General,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE01_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027 / English Medium / Nursery / GEN,1,General stream category.
DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE02,DRONA_TRUST_GSEB_DPS_2026_2027_ENG,grade,Preschool,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE02,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027 / English Medium / Preschool,1,Preschool category.
DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE02_GEN,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE02,stream,General,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE02_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027 / English Medium / Preschool / GEN,1,General stream category.
DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE03,DRONA_TRUST_GSEB_DPS_2026_2027_ENG,grade,LKG (Lower Kindergarten),DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE03,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027 / English Medium / LKG (Lower Kindergarten),1,LKG (Lower Kindergarten) category.
DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE03_GEN,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE03,stream,General,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE03_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027 / English Medium / LKG (Lower Kindergarten) / GEN,1,General stream category.
DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE04,DRONA_TRUST_GSEB_DPS_2026_2027_ENG,grade,UKG (Upper Kindergarten),DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE04,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027 / English Medium / UKG (Upper Kindergarten),1,UKG (Upper Kindergarten) category.
DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE04_GEN,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE04,stream,General,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE04_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027 / English Medium / UKG (Upper Kindergarten) / GEN,1,General stream category.
DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD01,DRONA_TRUST_GSEB_DPS_2026_2027_ENG,grade,Standard 1,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD01,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027 / English Medium / Standard 1,1,Standard 1 category.
