course_code,fullname,shortname,idnumber,category_code,board_code,school_code,medium_code,grade_code,stream_code,subject_code,subject_name,academic_year,format,numsections,visible,groupmode,groupmodeforce,summary,templatecourse,enablecompletion,showgrades,showreports,tags,course_template_code,term
DPS-GSEB-GUJ-STD01-GEN-GUJ-2026,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Gujarati - 2026-2027,DPS-GSEB-GUJ-STD01-GEN-GUJ-26,DPS-GSEB-GUJ-STD01-GEN-GUJ-2026,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD01_GEN,GSEB,DPS,GUJ,STD01,GEN,GUJ,Gujarati,2026-2027,topics,16,1,1,1,"Gujarati course for Standard 1 GEN Gujarati Medium in 2026-2027. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.",MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,1,1,1,"DPS,GSEB,2026-2027,GUJ,STD01,GEN,GUJ",TPL_STD01_02_ACTIVITY,Academic Year 2026-2027
DPS-GSEB-GUJ-STD01-GEN-HIN-2026,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Hindi - 2026-2027,DPS-GSEB-GUJ-STD01-GEN-HIN-26,DPS-GSEB-GUJ-STD01-GEN-HIN-2026,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD01_GEN,GSEB,DPS,GUJ,STD01,GEN,HIN,Hindi,2026-2027,topics,16,1,1,1,"Hindi course for Standard 1 GEN Gujarati Medium in 2026-2027. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.",MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,1,1,1,"DPS,GSEB,2026-2027,GUJ,STD01,GEN,HIN",TPL_STD01_02_ACTIVITY,Academic Year 2026-2027
DPS-GSEB-GUJ-STD01-GEN-ENG-2026,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - English - 2026-2027,DPS-GSEB-GUJ-STD01-GEN-ENG-26,DPS-GSEB-GUJ-STD01-GEN-ENG-2026,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD01_GEN,GSEB,DPS,GUJ,STD01,GEN,ENG,English,2026-2027,topics,16,1,1,1,"English course for Standard 1 GEN Gujarati Medium in 2026-2027. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.",MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,1,1,1,"DPS,GSEB,2026-2027,GUJ,STD01,GEN,ENG",TPL_STD01_02_ACTIVITY,Academic Year 2026-2027
DPS-GSEB-GUJ-STD01-GEN-MATH-2026,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Mathematics - 2026-2027,DPS-GSEB-GUJ-STD01-GEN-MATH-26,DPS-GSEB-GUJ-STD01-GEN-MATH-2026,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD01_GEN,GSEB,DPS,GUJ,STD01,GEN,MATH,Mathematics,2026-2027,topics,16,1,1,1,"Mathematics course for Standard 1 GEN Gujarati Medium in 2026-2027. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.",MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,1,1,1,"DPS,GSEB,2026-2027,GUJ,STD01,GEN,MATH",TPL_STD01_02_ACTIVITY,Academic Year 2026-2027
DPS-GSEB-GUJ-STD01-GEN-EVS-2026,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Environmental Studies - 2026-2027,DPS-GSEB-GUJ-STD01-GEN-EVS-26,DPS-GSEB-GUJ-STD01-GEN-EVS-2026,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD01_GEN,GSEB,DPS,GUJ,STD01,GEN,EVS,Environmental Studies,2026-2027,topics,16,1,1,1,"Environmental Studies course for Standard 1 GEN Gujarati Medium in 2026-2027. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.",MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,1,1,1,"DPS,GSEB,2026-2027,GUJ,STD01,GEN,EVS",TPL_STD01_02_ACTIVITY,Academic Year 2026-2027
DPS-GSEB-GUJ-STD01-GEN-ART-2026,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Art Education - 2026-2027,DPS-GSEB-GUJ-STD01-GEN-ART-26,DPS-GSEB-GUJ-STD01-GEN-ART-2026,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD01_GEN,GSEB,DPS,GUJ,STD01,GEN,ART,Art Education,2026-2027,topics,16,1,1,1,"Art Education course for Standard 1 GEN Gujarati Medium in 2026-2027. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.",MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,1,1,1,"DPS,GSEB,2026-2027,GUJ,STD01,GEN,ART",TPL_STD01_02_ACTIVITY,Academic Year 2026-2027
DPS-GSEB-GUJ-STD01-GEN-PE-2026,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Physical Education - 2026-2027,DPS-GSEB-GUJ-STD01-GEN-PE-26,DPS-GSEB-GUJ-STD01-GEN-PE-2026,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD01_GEN,GSEB,DPS,GUJ,STD01,GEN,PE,Physical Education,2026-2027,topics,16,1,1,1,"Physical Education course for Standard 1 GEN Gujarati Medium in 2026-2027. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.",MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,1,1,1,"DPS,GSEB,2026-2027,GUJ,STD01,GEN,PE",TPL_STD01_02_ACTIVITY,Academic Year 2026-2027
DPS-GSEB-GUJ-STD02-GEN-GUJ-2026,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 2 - GEN - Gujarati - 2026-2027,DPS-GSEB-GUJ-STD02-GEN-GUJ-26,DPS-GSEB-GUJ-STD02-GEN-GUJ-2026,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD02_GEN,GSEB,DPS,GUJ,STD02,GEN,GUJ,Gujarati,2026-2027,topics,16,1,1,1,"Gujarati course for Standard 2 GEN Gujarati Medium in 2026-2027. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.",MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,1,1,1,"DPS,GSEB,2026-2027,GUJ,STD02,GEN,GUJ",TPL_STD01_02_ACTIVITY,Academic Year 2026-2027
DPS-GSEB-GUJ-STD02-GEN-HIN-2026,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 2 - GEN - Hindi - 2026-2027,DPS-GSEB-GUJ-STD02-GEN-HIN-26,DPS-GSEB-GUJ-STD02-GEN-HIN-2026,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD02_GEN,GSEB,DPS,GUJ,STD02,GEN,HIN,Hindi,2026-2027,topics,16,1,1,1,"Hindi course for Standard 2 GEN Gujarati Medium in 2026-2027. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.",MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,1,1,1,"DPS,GSEB,2026-2027,GUJ,STD02,GEN,HIN",TPL_STD01_02_ACTIVITY,Academic Year 2026-2027
DPS-GSEB-GUJ-STD02-GEN-ENG-2026,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 2 - GEN - English - 2026-2027,DPS-GSEB-GUJ-STD02-GEN-ENG-26,DPS-GSEB-GUJ-STD02-GEN-ENG-2026,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD02_GEN,GSEB,DPS,GUJ,STD02,GEN,ENG,English,2026-2027,topics,16,1,1,1,"English course for Standard 2 GEN Gujarati Medium in 2026-2027. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.",MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,1,1,1,"DPS,GSEB,2026-2027,GUJ,STD02,GEN,ENG",TPL_STD01_02_ACTIVITY,Academic Year 2026-2027
