cohort_code,name,idnumber,context_category_code,board_code,school_code,medium_code,grade_code,stream_code,division_code,academic_year,visible,description
DPS-2026-GSEB-GUJ-STD01-GEN-A,DPS 2026-2027 Gujarati Medium Standard 1 GEN Division A,DPS-2026-GSEB-GUJ-STD01-GEN-A,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD01_GEN,GSEB,DPS,GUJ,STD01,GEN,A,2026-2027,1,2026-2027 cohort for STD01 GEN GUJ Division A.
DPS-2026-GSEB-GUJ-STD01-GEN-B,DPS 2026-2027 Gujarati Medium Standard 1 GEN Division B,DPS-2026-GSEB-GUJ-STD01-GEN-B,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD01_GEN,GSEB,DPS,GUJ,STD01,GEN,B,2026-2027,1,2026-2027 cohort for STD01 GEN GUJ Division B.
DPS-2026-GSEB-GUJ-STD01-GEN-C,DPS 2026-2027 Gujarati Medium Standard 1 GEN Division C,DPS-2026-GSEB-GUJ-STD01-GEN-C,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD01_GEN,GSEB,DPS,GUJ,STD01,GEN,C,2026-2027,1,2026-2027 cohort for STD01 GEN GUJ Division C.
DPS-2026-GSEB-GUJ-STD01-GEN-D,DPS 2026-2027 Gujarati Medium Standard 1 GEN Division D,DPS-2026-GSEB-GUJ-STD01-GEN-D,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD01_GEN,GSEB,DPS,GUJ,STD01,GEN,D,2026-2027,1,2026-2027 cohort for STD01 GEN GUJ Division D.
DPS-2026-GSEB-GUJ-STD01-GEN-E,DPS 2026-2027 Gujarati Medium Standard 1 GEN Division E,DPS-2026-GSEB-GUJ-STD01-GEN-E,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD01_GEN,GSEB,DPS,GUJ,STD01,GEN,E,2026-2027,1,2026-2027 cohort for STD01 GEN GUJ Division E.
DPS-2026-GSEB-GUJ-STD01-GEN-F,DPS 2026-2027 Gujarati Medium Standard 1 GEN Division F,DPS-2026-GSEB-GUJ-STD01-GEN-F,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD01_GEN,GSEB,DPS,GUJ,STD01,GEN,F,2026-2027,1,2026-2027 cohort for STD01 GEN GUJ Division F.
DPS-2026-GSEB-GUJ-STD02-GEN-A,DPS 2026-2027 Gujarati Medium Standard 2 GEN Division A,DPS-2026-GSEB-GUJ-STD02-GEN-A,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD02_GEN,GSEB,DPS,GUJ,STD02,GEN,A,2026-2027,1,2026-2027 cohort for STD02 GEN GUJ Division A.
DPS-2026-GSEB-GUJ-STD02-GEN-B,DPS 2026-2027 Gujarati Medium Standard 2 GEN Division B,DPS-2026-GSEB-GUJ-STD02-GEN-B,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD02_GEN,GSEB,DPS,GUJ,STD02,GEN,B,2026-2027,1,2026-2027 cohort for STD02 GEN GUJ Division B.
DPS-2026-GSEB-GUJ-STD02-GEN-C,DPS 2026-2027 Gujarati Medium Standard 2 GEN Division C,DPS-2026-GSEB-GUJ-STD02-GEN-C,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD02_GEN,GSEB,DPS,GUJ,STD02,GEN,C,2026-2027,1,2026-2027 cohort for STD02 GEN GUJ Division C.
DPS-2026-GSEB-GUJ-STD02-GEN-D,DPS 2026-2027 Gujarati Medium Standard 2 GEN Division D,DPS-2026-GSEB-GUJ-STD02-GEN-D,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD02_GEN,GSEB,DPS,GUJ,STD02,GEN,D,2026-2027,1,2026-2027 cohort for STD02 GEN GUJ Division D.
DPS-2026-GSEB-GUJ-STD02-GEN-E,DPS 2026-2027 Gujarati Medium Standard 2 GEN Division E,DPS-2026-GSEB-GUJ-STD02-GEN-E,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD02_GEN,GSEB,DPS,GUJ,STD02,GEN,E,2026-2027,1,2026-2027 cohort for STD02 GEN GUJ Division E.
DPS-2026-GSEB-GUJ-STD02-GEN-F,DPS 2026-2027 Gujarati Medium Standard 2 GEN Division F,DPS-2026-GSEB-GUJ-STD02-GEN-F,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD02_GEN,GSEB,DPS,GUJ,STD02,GEN,F,2026-2027,1,2026-2027 cohort for STD02 GEN GUJ Division F.
DPS-2026-GSEB-GUJ-STD03-GEN-A,DPS 2026-2027 Gujarati Medium Standard 3 GEN Division A,DPS-2026-GSEB-GUJ-STD03-GEN-A,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_STD03_GEN,GSEB,DPS,GUJ,STD03,GEN,A,2026-2027,1,2026-2027 cohort for STD03 GEN GUJ Division A.
