course_shortname,course_code,course_fullname,template_code,templatecourse_shortname,academic_year,term,grade_code,grade_band,subject_code,stream_code,visible_after_creation,enablecompletion,apply_sections,apply_gradebook,apply_completion_defaults,certificate_policy_code,notes
DPS-GSEB-GUJ-PRE01-GEN-ENG-26,DPS-GSEB-GUJ-PRE01-GEN-ENG-2026,Drona Public School - Gujarat Board Education - Gujarati Medium - Nursery - GEN - English - 2026-2027,TPL_STANDARD_FALLBACK,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,PRE01,ALL,ENG,GEN,1,1,1,1,1,STANDARD_COURSE_COMPLETION_CERT,Certification enabled by default. Visible by default for demo and student dashboard access.
DPS-GSEB-GUJ-PRE01-GEN-HIN-26,DPS-GSEB-GUJ-PRE01-GEN-HIN-2026,Drona Public School - Gujarat Board Education - Gujarati Medium - Nursery - GEN - Hindi - 2026-2027,TPL_STANDARD_FALLBACK,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,PRE01,ALL,HIN,GEN,1,1,1,1,1,STANDARD_COURSE_COMPLETION_CERT,Certification enabled by default. Visible by default for demo and student dashboard access.
DPS-GSEB-GUJ-PRE01-GEN-ART-26,DPS-GSEB-GUJ-PRE01-GEN-ART-2026,Drona Public School - Gujarat Board Education - Gujarati Medium - Nursery - GEN - Art & Craft - 2026-2027,TPL_STANDARD_FALLBACK,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,PRE01,ALL,ART,GEN,1,1,1,1,1,STANDARD_COURSE_COMPLETION_CERT,Certification enabled by default. Visible by default for demo and student dashboard access.
DPS-GSEB-GUJ-PRE02-GEN-ENG-26,DPS-GSEB-GUJ-PRE02-GEN-ENG-2026,Drona Public School - Gujarat Board Education - Gujarati Medium - Preschool - GEN - English - 2026-2027,TPL_STANDARD_FALLBACK,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,PRE02,ALL,ENG,GEN,1,1,1,1,1,STANDARD_COURSE_COMPLETION_CERT,Certification enabled by default. Visible by default for demo and student dashboard access.
DPS-GSEB-GUJ-PRE02-GEN-HIN-26,DPS-GSEB-GUJ-PRE02-GEN-HIN-2026,Drona Public School - Gujarat Board Education - Gujarati Medium - Preschool - GEN - Hindi - 2026-2027,TPL_STANDARD_FALLBACK,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,PRE02,ALL,HIN,GEN,1,1,1,1,1,STANDARD_COURSE_COMPLETION_CERT,Certification enabled by default. Visible by default for demo and student dashboard access.
DPS-GSEB-GUJ-PRE02-GEN-ART-26,DPS-GSEB-GUJ-PRE02-GEN-ART-2026,Drona Public School - Gujarat Board Education - Gujarati Medium - Preschool - GEN - Art & Craft - 2026-2027,TPL_STANDARD_FALLBACK,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,PRE02,ALL,ART,GEN,1,1,1,1,1,STANDARD_COURSE_COMPLETION_CERT,Certification enabled by default. Visible by default for demo and student dashboard access.
DPS-GSEB-GUJ-PRE03-GEN-ENG-26,DPS-GSEB-GUJ-PRE03-GEN-ENG-2026,Drona Public School - Gujarat Board Education - Gujarati Medium - LKG (Lower Kindergarten) - GEN - English - 2026-2027,TPL_STANDARD_FALLBACK,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,PRE03,ALL,ENG,GEN,1,1,1,1,1,STANDARD_COURSE_COMPLETION_CERT,Certification enabled by default. Visible by default for demo and student dashboard access.
DPS-GSEB-GUJ-PRE03-GEN-HIN-26,DPS-GSEB-GUJ-PRE03-GEN-HIN-2026,Drona Public School - Gujarat Board Education - Gujarati Medium - LKG (Lower Kindergarten) - GEN - Hindi - 2026-2027,TPL_STANDARD_FALLBACK,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,PRE03,ALL,HIN,GEN,1,1,1,1,1,STANDARD_COURSE_COMPLETION_CERT,Certification enabled by default. Visible by default for demo and student dashboard access.
DPS-GSEB-GUJ-PRE03-GEN-ART-26,DPS-GSEB-GUJ-PRE03-GEN-ART-2026,Drona Public School - Gujarat Board Education - Gujarati Medium - LKG (Lower Kindergarten) - GEN - Art & Craft - 2026-2027,TPL_STANDARD_FALLBACK,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,PRE03,ALL,ART,GEN,1,1,1,1,1,STANDARD_COURSE_COMPLETION_CERT,Certification enabled by default. Visible by default for demo and student dashboard access.
DPS-GSEB-GUJ-PRE04-GEN-ENG-26,DPS-GSEB-GUJ-PRE04-GEN-ENG-2026,Drona Public School - Gujarat Board Education - Gujarati Medium - UKG (Upper Kindergarten) - GEN - English - 2026-2027,TPL_STANDARD_FALLBACK,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,PRE04,ALL,ENG,GEN,1,1,1,1,1,STANDARD_COURSE_COMPLETION_CERT,Certification enabled by default. Visible by default for demo and student dashboard access.
