history_id,username,academic_year,board_code,school_code,medium_code,grade_code,stream_code,division_code,cohort_code,status,result,effective_from,effective_to,created_by,created_on,notes
HIST-00001,dps.stu.00001,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00002,dps.stu.00002,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00003,dps.stu.00003,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00004,dps.stu.00004,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00005,dps.stu.00005,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00006,dps.stu.00006,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00007,dps.stu.00007,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00008,dps.stu.00008,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00009,dps.stu.00009,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00010,dps.stu.00010,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00011,dps.stu.00011,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00012,dps.stu.00012,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00013,dps.stu.00013,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00014,dps.stu.00014,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00015,dps.stu.00015,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00016,dps.stu.00016,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00017,dps.stu.00017,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00018,dps.stu.00018,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00019,dps.stu.00019,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00020,dps.stu.00020,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00021,dps.stu.00021,2026-2027,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00022,dps.stu.00022,2026-2027,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00023,dps.stu.00023,2026-2027,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00024,dps.stu.00024,2026-2027,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00025,dps.stu.00025,2026-2027,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00026,dps.stu.00026,2026-2027,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00027,dps.stu.00027,2026-2027,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00028,dps.stu.00028,2026-2027,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00029,dps.stu.00029,2026-2027,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
