academic_year,grade_code,stream_code,subject_code,course_code,classwork_weight,assignment_weight,chapter_gate_weight,term_exam_weight,final_exam_weight,passing_percent
2026-2027,PRE01,GEN,ENG,DPS-GSEB-GUJ-PRE01-GEN-ENG-2026,20,25,15,20,20,40
2026-2027,PRE01,GEN,HIN,DPS-GSEB-GUJ-PRE01-GEN-HIN-2026,20,25,15,20,20,40
2026-2027,PRE01,GEN,ART,DPS-GSEB-GUJ-PRE01-GEN-ART-2026,20,25,15,20,20,40
2026-2027,PRE02,GEN,ENG,DPS-GSEB-GUJ-PRE02-GEN-ENG-2026,20,25,15,20,20,40
2026-2027,PRE02,GEN,HIN,DPS-GSEB-GUJ-PRE02-GEN-HIN-2026,20,25,15,20,20,40
2026-2027,PRE02,GEN,ART,DPS-GSEB-GUJ-PRE02-GEN-ART-2026,20,25,15,20,20,40
2026-2027,PRE03,GEN,ENG,DPS-GSEB-GUJ-PRE03-GEN-ENG-2026,20,25,15,20,20,40
2026-2027,PRE03,GEN,HIN,DPS-GSEB-GUJ-PRE03-GEN-HIN-2026,20,25,15,20,20,40
2026-2027,PRE03,GEN,ART,DPS-GSEB-GUJ-PRE03-GEN-ART-2026,20,25,15,20,20,40
2026-2027,PRE04,GEN,ENG,DPS-GSEB-GUJ-PRE04-GEN-ENG-2026,20,25,15,20,20,40
2026-2027,PRE04,GEN,HIN,DPS-GSEB-GUJ-PRE04-GEN-HIN-2026,20,25,15,20,20,40
2026-2027,PRE04,GEN,ART,DPS-GSEB-GUJ-PRE04-GEN-ART-2026,20,25,15,20,20,40
2026-2027,STD01,GEN,ENG,DPS-GSEB-GUJ-STD01-GEN-ENG-2026,35,30,10,15,15,40
2026-2027,STD01,GEN,HIN,DPS-GSEB-GUJ-STD01-GEN-HIN-2026,35,30,10,15,15,40
2026-2027,STD01,GEN,REG_LANG,DPS-GSEB-GUJ-STD01-GEN-REG_LANG-2026,35,30,10,15,15,40
2026-2027,STD01,GEN,MATH,DPS-GSEB-GUJ-STD01-GEN-MATH-2026,35,30,10,15,15,40
2026-2027,STD01,GEN,SCI,DPS-GSEB-GUJ-STD01-GEN-SCI-2026,35,30,10,15,15,40
2026-2027,STD01,GEN,SST,DPS-GSEB-GUJ-STD01-GEN-SST-2026,35,30,10,15,15,40
2026-2027,STD01,GEN,EVS,DPS-GSEB-GUJ-STD01-GEN-EVS-2026,35,30,10,15,15,40
