academic_year,course_code,course_shortname,classwork_weight,practice_quiz_weight,assignment_weight,chapter_gate_weight,term_exam_weight,final_exam_weight,passing_percent
2026-2027,DPS-GSEB-GUJ-STD01-GEN-GUJ-2026,DPS-GSEB-GUJ-STD01-GEN-GUJ-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD01-GEN-HIN-2026,DPS-GSEB-GUJ-STD01-GEN-HIN-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD01-GEN-ENG-2026,DPS-GSEB-GUJ-STD01-GEN-ENG-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD01-GEN-MATH-2026,DPS-GSEB-GUJ-STD01-GEN-MATH-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD01-GEN-EVS-2026,DPS-GSEB-GUJ-STD01-GEN-EVS-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD01-GEN-ART-2026,DPS-GSEB-GUJ-STD01-GEN-ART-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD01-GEN-PE-2026,DPS-GSEB-GUJ-STD01-GEN-PE-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD02-GEN-GUJ-2026,DPS-GSEB-GUJ-STD02-GEN-GUJ-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD02-GEN-HIN-2026,DPS-GSEB-GUJ-STD02-GEN-HIN-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD02-GEN-ENG-2026,DPS-GSEB-GUJ-STD02-GEN-ENG-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD02-GEN-MATH-2026,DPS-GSEB-GUJ-STD02-GEN-MATH-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD02-GEN-EVS-2026,DPS-GSEB-GUJ-STD02-GEN-EVS-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD02-GEN-ART-2026,DPS-GSEB-GUJ-STD02-GEN-ART-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD02-GEN-PE-2026,DPS-GSEB-GUJ-STD02-GEN-PE-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD03-GEN-GUJ-2026,DPS-GSEB-GUJ-STD03-GEN-GUJ-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD03-GEN-HIN-2026,DPS-GSEB-GUJ-STD03-GEN-HIN-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD03-GEN-ENG-2026,DPS-GSEB-GUJ-STD03-GEN-ENG-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD03-GEN-MATH-2026,DPS-GSEB-GUJ-STD03-GEN-MATH-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD03-GEN-EVS-2026,DPS-GSEB-GUJ-STD03-GEN-EVS-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD03-GEN-ART-2026,DPS-GSEB-GUJ-STD03-GEN-ART-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD03-GEN-PE-2026,DPS-GSEB-GUJ-STD03-GEN-PE-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD04-GEN-GUJ-2026,DPS-GSEB-GUJ-STD04-GEN-GUJ-26,15,15,20,10,20,20,40
2026-2027,DPS-GSEB-GUJ-STD04-GEN-HIN-2026,DPS-GSEB-GUJ-STD04-GEN-HIN-26,15,15,20,10,20,20,40
