template_code,section_number,item_order,activity_key,recommended_activity_type,safe_placeholder_module,default_name,purpose,completion_mode,completion_required,gradebook_category,default_points,visible,pii_safe_note,completion_rule,unlock_next,grade_to_pass
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,0,1,course_welcome,page,page,Welcome to this course,Course introduction and navigation,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,0,2,announcements,forum,page,Announcements,Teacher announcements,0,0,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",none,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,1,1,syllabus_plan,page,page,Syllabus and Year Plan,Syllabus and assessment plan,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,1,2,learning_outcomes,page,page,Learning Outcomes,Grade-level learning outcomes,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,2,1,ch01_overview,page,page,Chapter 1 Overview,Chapter overview,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,2,2,ch01_study,page,page,Chapter 1 Study Material,Study material and textbook reference,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,2,3,ch01_quiz,quiz,page,Chapter 1 Practice Quiz,Low-stakes practice quiz,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,2,4,ch01_assignment,assign,page,Chapter 1 Assignment,Worksheet or activity submission,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",submit,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,2,5,ch01_gate,quiz,page,Chapter 1 Completion Gate,Required completion gate to unlock next chapter,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,1,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,3,1,ch02_overview,page,page,Chapter 2 Overview,Chapter overview,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,3,2,ch02_study,page,page,Chapter 2 Study Material,Study material and textbook reference,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,3,3,ch02_quiz,quiz,page,Chapter 2 Practice Quiz,Low-stakes practice quiz,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,3,4,ch02_assignment,assign,page,Chapter 2 Assignment,Worksheet or activity submission,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",submit,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,3,5,ch02_gate,quiz,page,Chapter 2 Completion Gate,Required completion gate to unlock next chapter,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,1,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,4,1,ch03_overview,page,page,Chapter 3 Overview,Chapter overview,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,4,2,ch03_study,page,page,Chapter 3 Study Material,Study material and textbook reference,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,4,3,ch03_quiz,quiz,page,Chapter 3 Practice Quiz,Low-stakes practice quiz,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,4,4,ch03_assignment,assign,page,Chapter 3 Assignment,Worksheet or activity submission,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",submit,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,4,5,ch03_gate,quiz,page,Chapter 3 Completion Gate,Required completion gate to unlock next chapter,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,1,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,5,1,ch04_overview,page,page,Chapter 4 Overview,Chapter overview,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,5,2,ch04_study,page,page,Chapter 4 Study Material,Study material and textbook reference,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,5,3,ch04_quiz,quiz,page,Chapter 4 Practice Quiz,Low-stakes practice quiz,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,0,4
