academic_year,grade_code,minimum_attendance_percent,notes
2029-2030,STD01,75,Generated local testing attendance policy.
2029-2030,STD02,75,Generated local testing attendance policy.
2029-2030,STD03,75,Generated local testing attendance policy.
2029-2030,STD04,75,Generated local testing attendance policy.
2029-2030,STD05,75,Generated local testing attendance policy.
2029-2030,STD06,75,Generated local testing attendance policy.
2029-2030,STD07,75,Generated local testing attendance policy.
2029-2030,STD08,75,Generated local testing attendance policy.
2029-2030,STD09,75,Generated local testing attendance policy.
2029-2030,STD10,75,Generated local testing attendance policy.
2029-2030,STD11,75,Generated local testing attendance policy.
2029-2030,STD12,75,Generated local testing attendance policy.
