board_code,medium_code,grade_code,stream_code,subject_code,subject_name,subject_category,is_compulsory,is_elective,display_order,source_note
GSEB,GUJ,STD01,GEN,GUJ,Gujarati,Language,1,0,1,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD01,GEN,HIN,Hindi,Language,1,0,2,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD01,GEN,ENG,English,Language,1,0,3,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD01,GEN,MATH,Mathematics,Core,1,0,4,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD01,GEN,EVS,Environmental Studies,Core,1,0,5,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD01,GEN,ART,Art Education,Co-curricular,1,0,6,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD01,GEN,PE,Physical Education,Co-curricular,1,0,7,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD02,GEN,GUJ,Gujarati,Language,1,0,1,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD02,GEN,HIN,Hindi,Language,1,0,2,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD02,GEN,ENG,English,Language,1,0,3,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD02,GEN,MATH,Mathematics,Core,1,0,4,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD02,GEN,EVS,Environmental Studies,Core,1,0,5,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD02,GEN,ART,Art Education,Co-curricular,1,0,6,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD02,GEN,PE,Physical Education,Co-curricular,1,0,7,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD03,GEN,GUJ,Gujarati,Language,1,0,1,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD03,GEN,HIN,Hindi,Language,1,0,2,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD03,GEN,ENG,English,Language,1,0,3,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD03,GEN,MATH,Mathematics,Core,1,0,4,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD03,GEN,EVS,Environmental Studies,Core,1,0,5,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD03,GEN,ART,Art Education,Co-curricular,1,0,6,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD03,GEN,PE,Physical Education,Co-curricular,1,0,7,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD04,GEN,GUJ,Gujarati,Language,1,0,1,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD04,GEN,HIN,Hindi,Language,1,0,2,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
GSEB,GUJ,STD04,GEN,ENG,English,Language,1,0,3,Generated Gujarat board school local testing subject matrix. Verify exact school subject combinations before production.
