username,cohort_code,role
dps.stu.00001,DPS-2026-GSEB-GUJ-STD01-GEN-A,student
dps.stu.00002,DPS-2026-GSEB-GUJ-STD01-GEN-A,student
dps.stu.00003,DPS-2026-GSEB-GUJ-STD01-GEN-A,student
dps.stu.00004,DPS-2026-GSEB-GUJ-STD01-GEN-A,student
dps.stu.00005,DPS-2026-GSEB-GUJ-STD01-GEN-A,student
dps.stu.00006,DPS-2026-GSEB-GUJ-STD01-GEN-A,student
dps.stu.00007,DPS-2026-GSEB-GUJ-STD01-GEN-A,student
dps.stu.00008,DPS-2026-GSEB-GUJ-STD01-GEN-A,student
dps.stu.00009,DPS-2026-GSEB-GUJ-STD01-GEN-A,student
dps.stu.00010,DPS-2026-GSEB-GUJ-STD01-GEN-A,student
dps.stu.00011,DPS-2026-GSEB-GUJ-STD01-GEN-A,student
dps.stu.00012,DPS-2026-GSEB-GUJ-STD01-GEN-A,student
dps.stu.00013,DPS-2026-GSEB-GUJ-STD01-GEN-A,student
dps.stu.00014,DPS-2026-GSEB-GUJ-STD01-GEN-A,student
dps.stu.00015,DPS-2026-GSEB-GUJ-STD01-GEN-A,student
dps.stu.00016,DPS-2026-GSEB-GUJ-STD01-GEN-A,student
dps.stu.00017,DPS-2026-GSEB-GUJ-STD01-GEN-A,student
dps.stu.00018,DPS-2026-GSEB-GUJ-STD01-GEN-A,student
dps.stu.00019,DPS-2026-GSEB-GUJ-STD01-GEN-A,student
dps.stu.00020,DPS-2026-GSEB-GUJ-STD01-GEN-A,student
dps.stu.00021,DPS-2026-GSEB-ENG-STD01-GEN-A,student
dps.stu.00022,DPS-2026-GSEB-ENG-STD01-GEN-A,student
dps.stu.00023,DPS-2026-GSEB-ENG-STD01-GEN-A,student
dps.stu.00024,DPS-2026-GSEB-ENG-STD01-GEN-A,student
dps.stu.00025,DPS-2026-GSEB-ENG-STD01-GEN-A,student
dps.stu.00026,DPS-2026-GSEB-ENG-STD01-GEN-A,student
dps.stu.00027,DPS-2026-GSEB-ENG-STD01-GEN-A,student
dps.stu.00028,DPS-2026-GSEB-ENG-STD01-GEN-A,student
dps.stu.00029,DPS-2026-GSEB-ENG-STD01-GEN-A,student
dps.stu.00030,DPS-2026-GSEB-ENG-STD01-GEN-A,student
dps.stu.00031,DPS-2026-GSEB-ENG-STD01-GEN-A,student
dps.stu.00032,DPS-2026-GSEB-ENG-STD01-GEN-A,student
dps.stu.00033,DPS-2026-GSEB-ENG-STD01-GEN-A,student
dps.stu.00034,DPS-2026-GSEB-ENG-STD01-GEN-A,student
dps.stu.00035,DPS-2026-GSEB-ENG-STD01-GEN-A,student
dps.stu.00036,DPS-2026-GSEB-ENG-STD01-GEN-A,student
dps.stu.00037,DPS-2026-GSEB-ENG-STD01-GEN-A,student
dps.stu.00038,DPS-2026-GSEB-ENG-STD01-GEN-A,student
dps.stu.00039,DPS-2026-GSEB-ENG-STD01-GEN-A,student
dps.stu.00040,DPS-2026-GSEB-ENG-STD01-GEN-A,student
dps.stu.00041,DPS-2026-GSEB-HIN-STD01-GEN-A,student
dps.stu.00042,DPS-2026-GSEB-HIN-STD01-GEN-A,student
dps.stu.00043,DPS-2026-GSEB-HIN-STD01-GEN-A,student
dps.stu.00044,DPS-2026-GSEB-HIN-STD01-GEN-A,student
dps.stu.00045,DPS-2026-GSEB-HIN-STD01-GEN-A,student
dps.stu.00046,DPS-2026-GSEB-HIN-STD01-GEN-A,student
dps.stu.00047,DPS-2026-GSEB-HIN-STD01-GEN-A,student
dps.stu.00048,DPS-2026-GSEB-HIN-STD01-GEN-A,student
dps.stu.00049,DPS-2026-GSEB-HIN-STD01-GEN-A,student
dps.stu.00050,DPS-2026-GSEB-HIN-STD01-GEN-A,student
dps.stu.00051,DPS-2026-GSEB-HIN-STD01-GEN-A,student
dps.stu.00052,DPS-2026-GSEB-HIN-STD01-GEN-A,student
dps.stu.00053,DPS-2026-GSEB-HIN-STD01-GEN-A,student
dps.stu.00054,DPS-2026-GSEB-HIN-STD01-GEN-A,student
dps.stu.00055,DPS-2026-GSEB-HIN-STD01-GEN-A,student
dps.stu.00056,DPS-2026-GSEB-HIN-STD01-GEN-A,student
dps.stu.00057,DPS-2026-GSEB-HIN-STD01-GEN-A,student
dps.stu.00058,DPS-2026-GSEB-HIN-STD01-GEN-A,student
dps.stu.00059,DPS-2026-GSEB-HIN-STD01-GEN-A,student
dps.stu.00060,DPS-2026-GSEB-HIN-STD01-GEN-A,student
dps.stu.00061,DPS-2026-GSEB-GUJ-STD01-GEN-B,student
dps.stu.00062,DPS-2026-GSEB-GUJ-STD01-GEN-B,student
dps.stu.00063,DPS-2026-GSEB-GUJ-STD01-GEN-B,student
dps.stu.00064,DPS-2026-GSEB-GUJ-STD01-GEN-B,student
dps.stu.00065,DPS-2026-GSEB-GUJ-STD01-GEN-B,student
dps.stu.00066,DPS-2026-GSEB-GUJ-STD01-GEN-B,student
dps.stu.00067,DPS-2026-GSEB-GUJ-STD01-GEN-B,student
dps.stu.00068,DPS-2026-GSEB-GUJ-STD01-GEN-B,student
dps.stu.00069,DPS-2026-GSEB-GUJ-STD01-GEN-B,student
