parent_username,student_username,relationship,role_shortname,allow_grade_view,allow_activity_report_view,notes
dps.par.00001,dps.stu.00001,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00001,dps.stu.00002,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00002,dps.stu.00003,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00003,dps.stu.00004,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00004,dps.stu.00005,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00005,dps.stu.00006,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00006,dps.stu.00007,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00007,dps.stu.00008,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00008,dps.stu.00009,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00009,dps.stu.00010,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00010,dps.stu.00011,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00010,dps.stu.00012,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00011,dps.stu.00013,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00012,dps.stu.00014,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00013,dps.stu.00015,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00014,dps.stu.00016,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00015,dps.stu.00017,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00016,dps.stu.00018,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00017,dps.stu.00019,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00018,dps.stu.00020,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00019,dps.stu.00021,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00019,dps.stu.00022,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00020,dps.stu.00023,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00021,dps.stu.00024,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00022,dps.stu.00025,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00023,dps.stu.00026,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00024,dps.stu.00027,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00025,dps.stu.00028,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00026,dps.stu.00029,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00027,dps.stu.00030,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00028,dps.stu.00031,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00028,dps.stu.00032,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00029,dps.stu.00033,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00030,dps.stu.00034,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00031,dps.stu.00035,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00032,dps.stu.00036,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00033,dps.stu.00037,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00034,dps.stu.00038,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00035,dps.stu.00039,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00036,dps.stu.00040,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00037,dps.stu.00041,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00037,dps.stu.00042,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00038,dps.stu.00043,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00039,dps.stu.00044,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00040,dps.stu.00045,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00041,dps.stu.00046,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00042,dps.stu.00047,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00043,dps.stu.00048,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00044,dps.stu.00049,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00045,dps.stu.00050,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00046,dps.stu.00051,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00046,dps.stu.00052,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00047,dps.stu.00053,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00048,dps.stu.00054,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00049,dps.stu.00055,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00050,dps.stu.00056,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00051,dps.stu.00057,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00052,dps.stu.00058,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00053,dps.stu.00059,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00054,dps.stu.00060,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00055,dps.stu.00061,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00055,dps.stu.00062,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00056,dps.stu.00063,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00057,dps.stu.00064,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00058,dps.stu.00065,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00059,dps.stu.00066,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00060,dps.stu.00067,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00061,dps.stu.00068,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00062,dps.stu.00069,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00063,dps.stu.00070,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00064,dps.stu.00071,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00064,dps.stu.00072,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00065,dps.stu.00073,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00066,dps.stu.00074,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00067,dps.stu.00075,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00068,dps.stu.00076,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00069,dps.stu.00077,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00070,dps.stu.00078,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00071,dps.stu.00079,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00072,dps.stu.00080,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00073,dps.stu.00081,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00073,dps.stu.00082,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00074,dps.stu.00083,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00075,dps.stu.00084,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00076,dps.stu.00085,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00077,dps.stu.00086,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00078,dps.stu.00087,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00079,dps.stu.00088,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00080,dps.stu.00089,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00081,dps.stu.00090,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00082,dps.stu.00091,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00082,dps.stu.00092,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00083,dps.stu.00093,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00084,dps.stu.00094,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00085,dps.stu.00095,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00086,dps.stu.00096,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00087,dps.stu.00097,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00088,dps.stu.00098,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00089,dps.stu.00099,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00090,dps.stu.00100,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00091,dps.stu.00101,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00091,dps.stu.00102,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00092,dps.stu.00103,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00093,dps.stu.00104,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00094,dps.stu.00105,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00095,dps.stu.00106,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00096,dps.stu.00107,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00097,dps.stu.00108,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00098,dps.stu.00109,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00099,dps.stu.00110,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00100,dps.stu.00111,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00100,dps.stu.00112,Guardian,parent,1,1,Shared sibling parent for local testing.
