course_code,course_shortname,group_name,group_idnumber,board_code,school_code,medium_code,grade_code,stream_code,division_code,description
DPS-GSEB-GUJ-STD01-GEN-GUJ-2027,DPS-GSEB-GUJ-STD01-GEN-GUJ-27,Division A,DPS-GSEB-GUJ-STD01-GEN-GUJ-2027-A,GSEB,DPS,GUJ,STD01,GEN,A,Division A group for DPS-GSEB-GUJ-STD01-GEN-GUJ-27.
DPS-GSEB-GUJ-STD01-GEN-GUJ-2027,DPS-GSEB-GUJ-STD01-GEN-GUJ-27,Division B,DPS-GSEB-GUJ-STD01-GEN-GUJ-2027-B,GSEB,DPS,GUJ,STD01,GEN,B,Division B group for DPS-GSEB-GUJ-STD01-GEN-GUJ-27.
DPS-GSEB-GUJ-STD01-GEN-GUJ-2027,DPS-GSEB-GUJ-STD01-GEN-GUJ-27,Division C,DPS-GSEB-GUJ-STD01-GEN-GUJ-2027-C,GSEB,DPS,GUJ,STD01,GEN,C,Division C group for DPS-GSEB-GUJ-STD01-GEN-GUJ-27.
DPS-GSEB-GUJ-STD01-GEN-GUJ-2027,DPS-GSEB-GUJ-STD01-GEN-GUJ-27,Division D,DPS-GSEB-GUJ-STD01-GEN-GUJ-2027-D,GSEB,DPS,GUJ,STD01,GEN,D,Division D group for DPS-GSEB-GUJ-STD01-GEN-GUJ-27.
DPS-GSEB-GUJ-STD01-GEN-GUJ-2027,DPS-GSEB-GUJ-STD01-GEN-GUJ-27,Division E,DPS-GSEB-GUJ-STD01-GEN-GUJ-2027-E,GSEB,DPS,GUJ,STD01,GEN,E,Division E group for DPS-GSEB-GUJ-STD01-GEN-GUJ-27.
DPS-GSEB-GUJ-STD01-GEN-GUJ-2027,DPS-GSEB-GUJ-STD01-GEN-GUJ-27,Division F,DPS-GSEB-GUJ-STD01-GEN-GUJ-2027-F,GSEB,DPS,GUJ,STD01,GEN,F,Division F group for DPS-GSEB-GUJ-STD01-GEN-GUJ-27.
DPS-GSEB-GUJ-STD01-GEN-HIN-2027,DPS-GSEB-GUJ-STD01-GEN-HIN-27,Division A,DPS-GSEB-GUJ-STD01-GEN-HIN-2027-A,GSEB,DPS,GUJ,STD01,GEN,A,Division A group for DPS-GSEB-GUJ-STD01-GEN-HIN-27.
DPS-GSEB-GUJ-STD01-GEN-HIN-2027,DPS-GSEB-GUJ-STD01-GEN-HIN-27,Division B,DPS-GSEB-GUJ-STD01-GEN-HIN-2027-B,GSEB,DPS,GUJ,STD01,GEN,B,Division B group for DPS-GSEB-GUJ-STD01-GEN-HIN-27.
DPS-GSEB-GUJ-STD01-GEN-HIN-2027,DPS-GSEB-GUJ-STD01-GEN-HIN-27,Division C,DPS-GSEB-GUJ-STD01-GEN-HIN-2027-C,GSEB,DPS,GUJ,STD01,GEN,C,Division C group for DPS-GSEB-GUJ-STD01-GEN-HIN-27.
DPS-GSEB-GUJ-STD01-GEN-HIN-2027,DPS-GSEB-GUJ-STD01-GEN-HIN-27,Division D,DPS-GSEB-GUJ-STD01-GEN-HIN-2027-D,GSEB,DPS,GUJ,STD01,GEN,D,Division D group for DPS-GSEB-GUJ-STD01-GEN-HIN-27.
