academic_year,grade_code,stream_code,subject_code,course_code,classwork_weight,assignment_weight,chapter_gate_weight,term_exam_weight,final_exam_weight,passing_percent
2026-2027,STD01,GEN,GUJ,DPS-GSEB-GUJ-STD01-GEN-GUJ-2026,15,20,10,25,30,40
2026-2027,STD01,GEN,HIN,DPS-GSEB-GUJ-STD01-GEN-HIN-2026,15,20,10,25,30,40
2026-2027,STD01,GEN,ENG,DPS-GSEB-GUJ-STD01-GEN-ENG-2026,15,20,10,25,30,40
2026-2027,STD01,GEN,MATH,DPS-GSEB-GUJ-STD01-GEN-MATH-2026,15,20,10,25,30,40
2026-2027,STD01,GEN,EVS,DPS-GSEB-GUJ-STD01-GEN-EVS-2026,15,20,10,25,30,40
2026-2027,STD01,GEN,ART,DPS-GSEB-GUJ-STD01-GEN-ART-2026,15,20,10,25,30,40
2026-2027,STD01,GEN,PE,DPS-GSEB-GUJ-STD01-GEN-PE-2026,15,20,10,25,30,40
2026-2027,STD02,GEN,GUJ,DPS-GSEB-GUJ-STD02-GEN-GUJ-2026,15,20,10,25,30,40
2026-2027,STD02,GEN,HIN,DPS-GSEB-GUJ-STD02-GEN-HIN-2026,15,20,10,25,30,40
2026-2027,STD02,GEN,ENG,DPS-GSEB-GUJ-STD02-GEN-ENG-2026,15,20,10,25,30,40
2026-2027,STD02,GEN,MATH,DPS-GSEB-GUJ-STD02-GEN-MATH-2026,15,20,10,25,30,40
2026-2027,STD02,GEN,EVS,DPS-GSEB-GUJ-STD02-GEN-EVS-2026,15,20,10,25,30,40
2026-2027,STD02,GEN,ART,DPS-GSEB-GUJ-STD02-GEN-ART-2026,15,20,10,25,30,40
2026-2027,STD02,GEN,PE,DPS-GSEB-GUJ-STD02-GEN-PE-2026,15,20,10,25,30,40
2026-2027,STD03,GEN,GUJ,DPS-GSEB-GUJ-STD03-GEN-GUJ-2026,15,20,10,25,30,40
2026-2027,STD03,GEN,HIN,DPS-GSEB-GUJ-STD03-GEN-HIN-2026,15,20,10,25,30,40
2026-2027,STD03,GEN,ENG,DPS-GSEB-GUJ-STD03-GEN-ENG-2026,15,20,10,25,30,40
2026-2027,STD03,GEN,MATH,DPS-GSEB-GUJ-STD03-GEN-MATH-2026,15,20,10,25,30,40
2026-2027,STD03,GEN,EVS,DPS-GSEB-GUJ-STD03-GEN-EVS-2026,15,20,10,25,30,40
2026-2027,STD03,GEN,ART,DPS-GSEB-GUJ-STD03-GEN-ART-2026,15,20,10,25,30,40
2026-2027,STD03,GEN,PE,DPS-GSEB-GUJ-STD03-GEN-PE-2026,15,20,10,25,30,40
2026-2027,STD04,GEN,GUJ,DPS-GSEB-GUJ-STD04-GEN-GUJ-2026,15,20,10,25,30,40
2026-2027,STD04,GEN,HIN,DPS-GSEB-GUJ-STD04-GEN-HIN-2026,15,20,10,25,30,40
2026-2027,STD04,GEN,ENG,DPS-GSEB-GUJ-STD04-GEN-ENG-2026,15,20,10,25,30,40
2026-2027,STD04,GEN,MATH,DPS-GSEB-GUJ-STD04-GEN-MATH-2026,15,20,10,25,30,40
2026-2027,STD04,GEN,EVS,DPS-GSEB-GUJ-STD04-GEN-EVS-2026,15,20,10,25,30,40
2026-2027,STD04,GEN,ART,DPS-GSEB-GUJ-STD04-GEN-ART-2026,15,20,10,25,30,40
2026-2027,STD04,GEN,PE,DPS-GSEB-GUJ-STD04-GEN-PE-2026,15,20,10,25,30,40
2026-2027,STD05,GEN,GUJ,DPS-GSEB-GUJ-STD05-GEN-GUJ-2026,15,20,10,25,30,40
2026-2027,STD05,GEN,HIN,DPS-GSEB-GUJ-STD05-GEN-HIN-2026,15,20,10,25,30,40
2026-2027,STD05,GEN,ENG,DPS-GSEB-GUJ-STD05-GEN-ENG-2026,15,20,10,25,30,40
2026-2027,STD05,GEN,MATH,DPS-GSEB-GUJ-STD05-GEN-MATH-2026,15,20,10,25,30,40
2026-2027,STD05,GEN,EVS,DPS-GSEB-GUJ-STD05-GEN-EVS-2026,15,20,10,25,30,40
2026-2027,STD05,GEN,ART,DPS-GSEB-GUJ-STD05-GEN-ART-2026,15,20,10,25,30,40
2026-2027,STD05,GEN,PE,DPS-GSEB-GUJ-STD05-GEN-PE-2026,15,20,10,25,30,40
