academic_year,course_code,course_shortname,term_code,term_exam_template_code,enabled,required_for_completion,notes
2026-2027,DPS-GSEB-GUJ-STD01-GEN-GUJ-2026,DPS-GSEB-GUJ-STD01-GEN-GUJ-26,TERM1,TERM_EXAM_STD01_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD01-GEN-GUJ-2026,DPS-GSEB-GUJ-STD01-GEN-GUJ-26,TERM2,TERM_EXAM_STD01_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD01-GEN-HIN-2026,DPS-GSEB-GUJ-STD01-GEN-HIN-26,TERM1,TERM_EXAM_STD01_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD01-GEN-HIN-2026,DPS-GSEB-GUJ-STD01-GEN-HIN-26,TERM2,TERM_EXAM_STD01_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD01-GEN-ENG-2026,DPS-GSEB-GUJ-STD01-GEN-ENG-26,TERM1,TERM_EXAM_STD01_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD01-GEN-ENG-2026,DPS-GSEB-GUJ-STD01-GEN-ENG-26,TERM2,TERM_EXAM_STD01_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD01-GEN-MATH-2026,DPS-GSEB-GUJ-STD01-GEN-MATH-26,TERM1,TERM_EXAM_STD01_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD01-GEN-MATH-2026,DPS-GSEB-GUJ-STD01-GEN-MATH-26,TERM2,TERM_EXAM_STD01_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD01-GEN-EVS-2026,DPS-GSEB-GUJ-STD01-GEN-EVS-26,TERM1,TERM_EXAM_STD01_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD01-GEN-EVS-2026,DPS-GSEB-GUJ-STD01-GEN-EVS-26,TERM2,TERM_EXAM_STD01_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD01-GEN-ART-2026,DPS-GSEB-GUJ-STD01-GEN-ART-26,TERM1,TERM_EXAM_STD01_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD01-GEN-ART-2026,DPS-GSEB-GUJ-STD01-GEN-ART-26,TERM2,TERM_EXAM_STD01_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD01-GEN-PE-2026,DPS-GSEB-GUJ-STD01-GEN-PE-26,TERM1,TERM_EXAM_STD01_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD01-GEN-PE-2026,DPS-GSEB-GUJ-STD01-GEN-PE-26,TERM2,TERM_EXAM_STD01_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD02-GEN-GUJ-2026,DPS-GSEB-GUJ-STD02-GEN-GUJ-26,TERM1,TERM_EXAM_STD02_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD02-GEN-GUJ-2026,DPS-GSEB-GUJ-STD02-GEN-GUJ-26,TERM2,TERM_EXAM_STD02_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD02-GEN-HIN-2026,DPS-GSEB-GUJ-STD02-GEN-HIN-26,TERM1,TERM_EXAM_STD02_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD02-GEN-HIN-2026,DPS-GSEB-GUJ-STD02-GEN-HIN-26,TERM2,TERM_EXAM_STD02_TERM2,1,1,Generated grade-wise term exam assignment.
