academic_year,board_code,medium_code,grade_code,stream_code,division_codes,capacity,is_active,notes
2026-2027,GSEB,ENG,ITI_ELEC,VOC_IND,A|B|C|D|E|F,40,1,Default from active division master; edit division_codes to scope this grade.
2026-2027,GSEB,ENG,ITI_FIT,VOC_IND,A|B|C|D|E|F,40,1,Default from active division master; edit division_codes to scope this grade.
2026-2027,GSEB,ENG,LMS_CERT_AGILE,MGT,A|B|C|D|E|F,40,1,Default from active division master; edit division_codes to scope this grade.
2026-2027,GSEB,ENG,LMS_CERT_CLOUD,ENG,A|B|C|D|E|F,40,1,Default from active division master; edit division_codes to scope this grade.
2026-2027,GSEB,ENG,LMS_CERT_CYBER,CSA,A|B|C|D|E|F,40,1,Default from active division master; edit division_codes to scope this grade.
2026-2027,GSEB,ENG,LMS_CERT_DATA,AIE,A|B|C|D|E|F,40,1,Default from active division master; edit division_codes to scope this grade.
2026-2027,GSEB,ENG,LMS_CERT_DIGMKT,MKT,A|B|C|D|E|F,40,1,Default from active division master; edit division_codes to scope this grade.
2026-2027,GSEB,ENG,LMS_CERT_FSD,CSA,A|B|C|D|E|F,40,1,Default from active division master; edit division_codes to scope this grade.
2026-2027,GSEB,ENG,LMS_CERT_MLOPS,AIE,A|B|C|D|E|F,40,1,Default from active division master; edit division_codes to scope this grade.
2026-2027,GSEB,ENG,LMS_CERT_PM,MGT,A|B|C|D|E|F,40,1,Default from active division master; edit division_codes to scope this grade.
2026-2027,GSEB,ENG,LMS_CERT_WEB3,EMG,A|B|C|D|E|F,40,1,Default from active division master; edit division_codes to scope this grade.
2026-2027,GSEB,ENG,NUR_BSC_Y1,NUR,A|B|C|D|E|F,40,1,Default from active division master; edit division_codes to scope this grade.
2026-2027,GSEB,ENG,NUR_GNM_Y1,NUR,A|B|C|D|E|F,40,1,Default from active division master; edit division_codes to scope this grade.
2026-2027,GSEB,ENG,NUR_GNM_Y2,NUR,A|B|C|D|E|F,40,1,Default from active division master; edit division_codes to scope this grade.
