shortname,name,category,datatype,required,locked,visible,forceunique,signup,defaultdata,options,sensitive,recommended_visibility,notes
admission_no,Admission Number,Student Academic,text,0,1,0,1,0,,,0,user_and_admin,
roll_no,Roll Number,Student Academic,text,0,1,0,0,0,,,0,user_and_admin,
student_gr_no,General Register Number,Student Academic,text,0,1,0,1,0,,,0,user_and_admin,
birth_date,Date of Birth,Student Personal,datetime,0,1,0,0,0,,,1,admin_only,
gender,Gender,Student Personal,menu,0,1,0,0,0,,Male|Female|Other|Prefer not to say,1,admin_only,
blood_group,Blood Group,Student Health,menu,0,1,0,0,0,,A+|A-|B+|B-|AB+|AB-|O+|O-|Unknown,1,admin_only,
religion,Religion,Student Personal,text,0,1,0,0,0,,,1,admin_only,
category,Social Category,Student Personal,menu,0,1,0,0,0,,General|SC|ST|OBC|SEBC|EWS|Other|Not provided,1,admin_only,
caste,Caste / Community,Student Personal,text,0,1,0,0,0,,,1,admin_only,
nationality,Nationality,Student Personal,text,0,1,0,0,0,Indian,,0,user_and_admin,
mother_tongue,Mother Tongue,Student Personal,text,0,1,0,0,0,,,0,user_and_admin,
admission_date,Admission Date,Student Academic,datetime,0,1,0,0,0,,,0,user_and_admin,
apaar_id,APAAR ID,Government IDs,text,0,1,0,0,0,,,1,admin_only,Store only when available and with required consent/process.
udise_student_code,UDISE Student Code,Government IDs,text,0,1,0,0,0,,,1,admin_only,
saral_id,SARAL / State Student ID,Government IDs,text,0,1,0,0,0,,,1,admin_only,
aadhaar_last4,Aadhaar Last 4 Digits,Government IDs,text,0,1,0,0,0,,,1,admin_only,Do not store full Aadhaar number in Moodle baseline.
aadhaar_masked,Masked Aadhaar,Government IDs,text,0,1,0,0,0,,,1,admin_only,Example xxxx-xxxx-1234 only; no full number.
aadhaar_consent,Aadhaar Consent Status,Government IDs,menu,0,1,0,0,0,,Not requested|Provided|Refused|Not available|Not applicable,1,admin_only,
aadhaar_vault_ref,External Aadhaar Vault Reference,Government IDs,text,0,1,0,0,0,,,1,admin_only,Use only if a legally compliant external secure store is used.
house,School House,Student Academic,menu,0,1,0,0,0,,Red|Blue|Green|Yellow|Not assigned,0,user_and_admin,
transport_required,Transport Required,Transport,checkbox,0,1,0,0,0,,,0,user_and_admin,
bus_route,Bus Route,Transport,text,0,1,0,0,0,,,0,user_and_admin,
pickup_point,Pickup Point,Transport,text,0,1,0,0,0,,,0,user_and_admin,
rte_category,RTE Category,Student Personal,checkbox,0,1,0,0,0,,,1,admin_only,
bpl,BPL / Economically Weaker Section,Student Personal,checkbox,0,1,0,0,0,,,1,admin_only,
disability_status,Disability Status,Student Health,menu,0,1,0,0,0,,None|Visual|Hearing|Locomotor|Learning|Multiple|Other|Not provided,1,admin_only,
medical_conditions,Medical Conditions,Student Health,text,0,1,0,0,0,,,1,admin_only,
allergies,Allergies,Student Health,text,0,1,0,0,0,,,1,admin_only,
doctor_name,Family Doctor Name,Student Health,text,0,1,0,0,0,,,1,admin_only,
doctor_phone,Family Doctor Phone,Student Health,text,0,1,0,0,0,,,1,admin_only,
sibling_admission_no,Sibling Admission Number,Student Family,text,0,1,0,0,0,,,0,user_and_admin,
