rule_code,from_grade_code,from_stream_code,result_status,promotion_decision,to_grade_code,to_stream_code,requires_manual_review,notes
PROMOTE_PRE01_TO_PRE02,PRE01,GEN,PASS,PROMOTED,PRE02,GEN,0,Default school annual promotion rule derived from grade display order.
PROMOTE_PRE02_TO_PRE03,PRE02,GEN,PASS,PROMOTED,PRE03,GEN,0,Default school annual promotion rule derived from grade display order.
PROMOTE_PRE03_TO_PRE04,PRE03,GEN,PASS,PROMOTED,PRE04,GEN,0,Default school annual promotion rule derived from grade display order.
PROMOTE_PRE04_TO_STD01,PRE04,GEN,PASS,PROMOTED,STD01,GEN,0,Default school annual promotion rule derived from grade display order.
PROMOTE_STD01_TO_STD02,STD01,GEN,PASS,PROMOTED,STD02,GEN,0,Default school annual promotion rule derived from grade display order.
PROMOTE_STD02_TO_STD03,STD02,GEN,PASS,PROMOTED,STD03,GEN,0,Default school annual promotion rule derived from grade display order.
PROMOTE_STD03_TO_STD04,STD03,GEN,PASS,PROMOTED,STD04,GEN,0,Default school annual promotion rule derived from grade display order.
PROMOTE_STD04_TO_STD05,STD04,GEN,PASS,PROMOTED,STD05,GEN,0,Default school annual promotion rule derived from grade display order.
PROMOTE_STD05_TO_STD06,STD05,GEN,PASS,PROMOTED,STD06,GEN,0,Default school annual promotion rule derived from grade display order.
PROMOTE_STD06_TO_STD07,STD06,GEN,PASS,PROMOTED,STD07,GEN,0,Default school annual promotion rule derived from grade display order.
PROMOTE_STD07_TO_STD08,STD07,GEN,PASS,PROMOTED,STD08,GEN,0,Default school annual promotion rule derived from grade display order.
PROMOTE_STD08_TO_STD09,STD08,GEN,PASS,PROMOTED,STD09,GEN,0,Default school annual promotion rule derived from grade display order.
PROMOTE_STD09_TO_STD10,STD09,GEN,PASS,PROMOTED,STD10,GEN,0,Default school annual promotion rule derived from grade display order.
STD10_TO_STD11_SCI,STD10,GEN,PASS,STREAM_SELECTED,STD11_SCI,SCI,1,Std 10 to Std 11 requires manual stream selection and subject validation.
