student_username,sibling_username,relationship,notes
dps.stu.00001,dps.stu.00002,Sibling,Local test sibling pair
dps.stu.00011,dps.stu.00012,Sibling,Local test sibling pair
dps.stu.00021,dps.stu.00022,Sibling,Local test sibling pair
dps.stu.00031,dps.stu.00032,Sibling,Local test sibling pair
dps.stu.00041,dps.stu.00042,Sibling,Local test sibling pair
dps.stu.00051,dps.stu.00052,Sibling,Local test sibling pair
dps.stu.00061,dps.stu.00062,Sibling,Local test sibling pair
dps.stu.00071,dps.stu.00072,Sibling,Local test sibling pair
dps.stu.00081,dps.stu.00082,Sibling,Local test sibling pair
dps.stu.00091,dps.stu.00092,Sibling,Local test sibling pair
dps.stu.00101,dps.stu.00102,Sibling,Local test sibling pair
dps.stu.00111,dps.stu.00112,Sibling,Local test sibling pair
dps.stu.00121,dps.stu.00122,Sibling,Local test sibling pair
dps.stu.00131,dps.stu.00132,Sibling,Local test sibling pair
dps.stu.00141,dps.stu.00142,Sibling,Local test sibling pair
dps.stu.00151,dps.stu.00152,Sibling,Local test sibling pair
dps.stu.00161,dps.stu.00162,Sibling,Local test sibling pair
dps.stu.00171,dps.stu.00172,Sibling,Local test sibling pair
dps.stu.00181,dps.stu.00182,Sibling,Local test sibling pair
dps.stu.00191,dps.stu.00192,Sibling,Local test sibling pair
