student_username,transport_required,bus_route,pickup_point
dps.stu.00001,0,,
dps.stu.00002,0,,
dps.stu.00003,0,,
dps.stu.00004,0,,
dps.stu.00005,0,,
dps.stu.00006,0,,
dps.stu.00007,0,,
dps.stu.00008,0,,
dps.stu.00009,0,,
dps.stu.00010,0,,
dps.stu.00011,0,,
dps.stu.00012,0,,
dps.stu.00013,0,,
dps.stu.00014,0,,
dps.stu.00015,0,,
dps.stu.00016,0,,
dps.stu.00017,0,,
dps.stu.00018,0,,
dps.stu.00019,0,,
dps.stu.00020,0,,
dps.stu.00021,0,,
dps.stu.00022,0,,
dps.stu.00023,0,,
dps.stu.00024,0,,
dps.stu.00025,0,,
dps.stu.00026,0,,
dps.stu.00027,0,,
dps.stu.00028,0,,
dps.stu.00029,0,,
dps.stu.00030,0,,
dps.stu.00031,0,,
dps.stu.00032,0,,
dps.stu.00033,0,,
dps.stu.00034,0,,
dps.stu.00035,0,,
dps.stu.00036,0,,
dps.stu.00037,0,,
dps.stu.00038,0,,
dps.stu.00039,0,,
dps.stu.00040,0,,
dps.stu.00041,0,,
dps.stu.00042,0,,
dps.stu.00043,0,,
dps.stu.00044,0,,
dps.stu.00045,0,,
dps.stu.00046,0,,
dps.stu.00047,0,,
dps.stu.00048,0,,
dps.stu.00049,0,,
dps.stu.00050,0,,
dps.stu.00051,0,,
dps.stu.00052,0,,
dps.stu.00053,0,,
dps.stu.00054,0,,
dps.stu.00055,0,,
dps.stu.00056,0,,
dps.stu.00057,0,,
dps.stu.00058,0,,
dps.stu.00059,0,,
dps.stu.00060,0,,
dps.stu.00061,0,,
dps.stu.00062,0,,
dps.stu.00063,0,,
dps.stu.00064,0,,
dps.stu.00065,0,,
dps.stu.00066,0,,
dps.stu.00067,0,,
dps.stu.00068,0,,
dps.stu.00069,0,,
dps.stu.00070,0,,
dps.stu.00071,0,,
dps.stu.00072,0,,
dps.stu.00073,0,,
dps.stu.00074,0,,
dps.stu.00075,0,,
dps.stu.00076,0,,
dps.stu.00077,0,,
dps.stu.00078,0,,
dps.stu.00079,0,,
dps.stu.00080,0,,
dps.stu.00081,0,,
dps.stu.00082,0,,
dps.stu.00083,0,,
dps.stu.00084,0,,
dps.stu.00085,0,,
dps.stu.00086,0,,
dps.stu.00087,0,,
dps.stu.00088,0,,
dps.stu.00089,0,,
dps.stu.00090,0,,
dps.stu.00091,0,,
dps.stu.00092,0,,
dps.stu.00093,0,,
dps.stu.00094,0,,
dps.stu.00095,0,,
dps.stu.00096,0,,
dps.stu.00097,0,,
dps.stu.00098,0,,
dps.stu.00099,0,,
dps.stu.00100,0,,
dps.stu.00101,0,,
dps.stu.00102,0,,
dps.stu.00103,0,,
dps.stu.00104,0,,
dps.stu.00105,0,,
dps.stu.00106,0,,
dps.stu.00107,0,,
dps.stu.00108,0,,
dps.stu.00109,0,,
dps.stu.00110,0,,
dps.stu.00111,0,,
dps.stu.00112,0,,
dps.stu.00113,0,,
dps.stu.00114,0,,
dps.stu.00115,0,,
dps.stu.00116,0,,
dps.stu.00117,0,,
dps.stu.00118,0,,
dps.stu.00119,0,,
dps.stu.00120,0,,
dps.stu.00121,0,,
dps.stu.00122,0,,
dps.stu.00123,0,,
dps.stu.00124,0,,
dps.stu.00125,0,,
dps.stu.00126,0,,
dps.stu.00127,0,,
dps.stu.00128,0,,
dps.stu.00129,0,,
dps.stu.00130,0,,
dps.stu.00131,0,,
dps.stu.00132,0,,
dps.stu.00133,0,,
dps.stu.00134,0,,
dps.stu.00135,0,,
dps.stu.00136,0,,
dps.stu.00137,0,,
dps.stu.00138,0,,
dps.stu.00139,0,,
dps.stu.00140,0,,
dps.stu.00141,0,,
