term_exam_template_code,grade_code,term_code,name,total_marks,weight_percent,required_for_completion
TERM_EXAM_STD01_TERM1,STD01,TERM1,Standard 1 TERM1 Exam,50,20,1
TERM_EXAM_STD01_TERM2,STD01,TERM2,Standard 1 TERM2 Exam,50,20,1
TERM_EXAM_STD02_TERM1,STD02,TERM1,Standard 2 TERM1 Exam,50,20,1
TERM_EXAM_STD02_TERM2,STD02,TERM2,Standard 2 TERM2 Exam,50,20,1
TERM_EXAM_STD03_TERM1,STD03,TERM1,Standard 3 TERM1 Exam,50,20,1
TERM_EXAM_STD03_TERM2,STD03,TERM2,Standard 3 TERM2 Exam,50,20,1
TERM_EXAM_STD04_TERM1,STD04,TERM1,Standard 4 TERM1 Exam,50,20,1
TERM_EXAM_STD04_TERM2,STD04,TERM2,Standard 4 TERM2 Exam,50,20,1
TERM_EXAM_STD05_TERM1,STD05,TERM1,Standard 5 TERM1 Exam,50,20,1
TERM_EXAM_STD05_TERM2,STD05,TERM2,Standard 5 TERM2 Exam,50,20,1
TERM_EXAM_STD06_TERM1,STD06,TERM1,Standard 6 TERM1 Exam,50,20,1
TERM_EXAM_STD06_TERM2,STD06,TERM2,Standard 6 TERM2 Exam,50,20,1
TERM_EXAM_STD07_TERM1,STD07,TERM1,Standard 7 TERM1 Exam,50,20,1
TERM_EXAM_STD07_TERM2,STD07,TERM2,Standard 7 TERM2 Exam,50,20,1
TERM_EXAM_STD08_TERM1,STD08,TERM1,Standard 8 TERM1 Exam,50,20,1
TERM_EXAM_STD08_TERM2,STD08,TERM2,Standard 8 TERM2 Exam,50,20,1
TERM_EXAM_STD09_TERM1,STD09,TERM1,Standard 9 TERM1 Exam,50,20,1
TERM_EXAM_STD09_TERM2,STD09,TERM2,Standard 9 TERM2 Exam,50,20,1
TERM_EXAM_STD10_TERM1,STD10,TERM1,Standard 10 TERM1 Exam,50,20,1
TERM_EXAM_STD10_TERM2,STD10,TERM2,Standard 10 TERM2 Exam,50,20,1
TERM_EXAM_STD11_TERM1,STD11,TERM1,Standard 11 TERM1 Exam,50,20,1
TERM_EXAM_STD11_TERM2,STD11,TERM2,Standard 11 TERM2 Exam,50,20,1
TERM_EXAM_STD12_TERM1,STD12,TERM1,Standard 12 TERM1 Exam,50,20,1
TERM_EXAM_STD12_TERM2,STD12,TERM2,Standard 12 TERM2 Exam,50,20,1
