cohort_code,name,idnumber,context_category_code,board_code,school_code,medium_code,grade_code,stream_code,division_code,academic_year,visible,description
DPS-2026-GSEB-ENG-PRE01-GEN-A,DPS 2026-2027 English Medium Nursery GEN Division A,DPS-2026-GSEB-ENG-PRE01-GEN-A,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE01_GEN,GSEB,DPS,ENG,PRE01,GEN,A,2026-2027,1,Student cohort for Nursery GEN Division A in 2026-2027.
DPS-2026-GSEB-ENG-PRE01-GEN-B,DPS 2026-2027 English Medium Nursery GEN Division B,DPS-2026-GSEB-ENG-PRE01-GEN-B,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE01_GEN,GSEB,DPS,ENG,PRE01,GEN,B,2026-2027,1,Student cohort for Nursery GEN Division B in 2026-2027.
DPS-2026-GSEB-ENG-PRE01-GEN-C,DPS 2026-2027 English Medium Nursery GEN Division C,DPS-2026-GSEB-ENG-PRE01-GEN-C,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE01_GEN,GSEB,DPS,ENG,PRE01,GEN,C,2026-2027,1,Student cohort for Nursery GEN Division C in 2026-2027.
DPS-2026-GSEB-ENG-PRE01-GEN-D,DPS 2026-2027 English Medium Nursery GEN Division D,DPS-2026-GSEB-ENG-PRE01-GEN-D,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE01_GEN,GSEB,DPS,ENG,PRE01,GEN,D,2026-2027,1,Student cohort for Nursery GEN Division D in 2026-2027.
DPS-2026-GSEB-ENG-PRE01-GEN-E,DPS 2026-2027 English Medium Nursery GEN Division E,DPS-2026-GSEB-ENG-PRE01-GEN-E,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE01_GEN,GSEB,DPS,ENG,PRE01,GEN,E,2026-2027,1,Student cohort for Nursery GEN Division E in 2026-2027.
DPS-2026-GSEB-ENG-PRE01-GEN-F,DPS 2026-2027 English Medium Nursery GEN Division F,DPS-2026-GSEB-ENG-PRE01-GEN-F,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE01_GEN,GSEB,DPS,ENG,PRE01,GEN,F,2026-2027,1,Student cohort for Nursery GEN Division F in 2026-2027.
DPS-2026-GSEB-ENG-PRE02-GEN-A,DPS 2026-2027 English Medium Preschool GEN Division A,DPS-2026-GSEB-ENG-PRE02-GEN-A,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE02_GEN,GSEB,DPS,ENG,PRE02,GEN,A,2026-2027,1,Student cohort for Preschool GEN Division A in 2026-2027.
DPS-2026-GSEB-ENG-PRE02-GEN-B,DPS 2026-2027 English Medium Preschool GEN Division B,DPS-2026-GSEB-ENG-PRE02-GEN-B,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE02_GEN,GSEB,DPS,ENG,PRE02,GEN,B,2026-2027,1,Student cohort for Preschool GEN Division B in 2026-2027.
DPS-2026-GSEB-ENG-PRE02-GEN-C,DPS 2026-2027 English Medium Preschool GEN Division C,DPS-2026-GSEB-ENG-PRE02-GEN-C,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE02_GEN,GSEB,DPS,ENG,PRE02,GEN,C,2026-2027,1,Student cohort for Preschool GEN Division C in 2026-2027.
DPS-2026-GSEB-ENG-PRE02-GEN-D,DPS 2026-2027 English Medium Preschool GEN Division D,DPS-2026-GSEB-ENG-PRE02-GEN-D,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE02_GEN,GSEB,DPS,ENG,PRE02,GEN,D,2026-2027,1,Student cohort for Preschool GEN Division D in 2026-2027.
