shortname,fullname,idnumber,category_idnumber,category_path,visible,format,numsections,enablecompletion,showgrades,showreports,groupmode,groupmodeforce,templatecourse,summary,tags
DPS-GSEB-GUJ-PRE01-GEN-ENG-26,Drona Public School - Gujarat Board Education - Gujarati Medium - Nursery - GEN - English - 2026-2027,DPS-GSEB-GUJ-PRE01-GEN-ENG-2026,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_PRE01_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027 / Gujarati Medium / Nursery / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,English course for Nursery GEN Gujarati Medium in 2026-2027. School model: Two Term with completion rules and default certification.,"DPS,GSEB,2026-2027,GUJ,PRE01,GEN,ENG"
DPS-GSEB-GUJ-PRE01-GEN-HIN-26,Drona Public School - Gujarat Board Education - Gujarati Medium - Nursery - GEN - Hindi - 2026-2027,DPS-GSEB-GUJ-PRE01-GEN-HIN-2026,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_PRE01_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027 / Gujarati Medium / Nursery / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Hindi course for Nursery GEN Gujarati Medium in 2026-2027. School model: Two Term with completion rules and default certification.,"DPS,GSEB,2026-2027,GUJ,PRE01,GEN,HIN"
DPS-GSEB-GUJ-PRE01-GEN-ART-26,Drona Public School - Gujarat Board Education - Gujarati Medium - Nursery - GEN - Art & Craft - 2026-2027,DPS-GSEB-GUJ-PRE01-GEN-ART-2026,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_PRE01_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027 / Gujarati Medium / Nursery / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Art & Craft course for Nursery GEN Gujarati Medium in 2026-2027. School model: Two Term with completion rules and default certification.,"DPS,GSEB,2026-2027,GUJ,PRE01,GEN,ART"
DPS-GSEB-GUJ-PRE02-GEN-ENG-26,Drona Public School - Gujarat Board Education - Gujarati Medium - Preschool - GEN - English - 2026-2027,DPS-GSEB-GUJ-PRE02-GEN-ENG-2026,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_PRE02_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027 / Gujarati Medium / Preschool / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,English course for Preschool GEN Gujarati Medium in 2026-2027. School model: Two Term with completion rules and default certification.,"DPS,GSEB,2026-2027,GUJ,PRE02,GEN,ENG"
DPS-GSEB-GUJ-PRE02-GEN-HIN-26,Drona Public School - Gujarat Board Education - Gujarati Medium - Preschool - GEN - Hindi - 2026-2027,DPS-GSEB-GUJ-PRE02-GEN-HIN-2026,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_PRE02_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027 / Gujarati Medium / Preschool / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Hindi course for Preschool GEN Gujarati Medium in 2026-2027. School model: Two Term with completion rules and default certification.,"DPS,GSEB,2026-2027,GUJ,PRE02,GEN,HIN"
DPS-GSEB-GUJ-PRE02-GEN-ART-26,Drona Public School - Gujarat Board Education - Gujarati Medium - Preschool - GEN - Art & Craft - 2026-2027,DPS-GSEB-GUJ-PRE02-GEN-ART-2026,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_PRE02_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027 / Gujarati Medium / Preschool / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Art & Craft course for Preschool GEN Gujarati Medium in 2026-2027. School model: Two Term with completion rules and default certification.,"DPS,GSEB,2026-2027,GUJ,PRE02,GEN,ART"
DPS-GSEB-GUJ-PRE03-GEN-ENG-26,Drona Public School - Gujarat Board Education - Gujarati Medium - LKG (Lower Kindergarten) - GEN - English - 2026-2027,DPS-GSEB-GUJ-PRE03-GEN-ENG-2026,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_PRE03_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027 / Gujarati Medium / LKG (Lower Kindergarten) / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,English course for LKG (Lower Kindergarten) GEN Gujarati Medium in 2026-2027. School model: Two Term with completion rules and default certification.,"DPS,GSEB,2026-2027,GUJ,PRE03,GEN,ENG"
DPS-GSEB-GUJ-PRE03-GEN-HIN-26,Drona Public School - Gujarat Board Education - Gujarati Medium - LKG (Lower Kindergarten) - GEN - Hindi - 2026-2027,DPS-GSEB-GUJ-PRE03-GEN-HIN-2026,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_PRE03_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027 / Gujarati Medium / LKG (Lower Kindergarten) / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Hindi course for LKG (Lower Kindergarten) GEN Gujarati Medium in 2026-2027. School model: Two Term with completion rules and default certification.,"DPS,GSEB,2026-2027,GUJ,PRE03,GEN,HIN"
DPS-GSEB-GUJ-PRE03-GEN-ART-26,Drona Public School - Gujarat Board Education - Gujarati Medium - LKG (Lower Kindergarten) - GEN - Art & Craft - 2026-2027,DPS-GSEB-GUJ-PRE03-GEN-ART-2026,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_PRE03_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027 / Gujarati Medium / LKG (Lower Kindergarten) / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Art & Craft course for LKG (Lower Kindergarten) GEN Gujarati Medium in 2026-2027. School model: Two Term with completion rules and default certification.,"DPS,GSEB,2026-2027,GUJ,PRE03,GEN,ART"
DPS-GSEB-GUJ-PRE04-GEN-ENG-26,Drona Public School - Gujarat Board Education - Gujarati Medium - UKG (Upper Kindergarten) - GEN - English - 2026-2027,DPS-GSEB-GUJ-PRE04-GEN-ENG-2026,DRONA_TRUST_GSEB_DPS_2026_2027_GUJ_PRE04_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2026-2027 / Gujarati Medium / UKG (Upper Kindergarten) / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,English course for UKG (Upper Kindergarten) GEN Gujarati Medium in 2026-2027. School model: Two Term with completion rules and default certification.,"DPS,GSEB,2026-2027,GUJ,PRE04,GEN,ENG"
