academic_year,course_code,course_shortname,classwork_weight,practice_quiz_weight,assignment_weight,chapter_gate_weight,term_exam_weight,final_exam_weight,passing_percent
2026-2027,DPS-GSEB-GUJ-PRE01-GEN-ENG-2026,DPS-GSEB-GUJ-PRE01-GEN-ENG-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-PRE01-GEN-HIN-2026,DPS-GSEB-GUJ-PRE01-GEN-HIN-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-PRE01-GEN-ART-2026,DPS-GSEB-GUJ-PRE01-GEN-ART-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-PRE02-GEN-ENG-2026,DPS-GSEB-GUJ-PRE02-GEN-ENG-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-PRE02-GEN-HIN-2026,DPS-GSEB-GUJ-PRE02-GEN-HIN-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-PRE02-GEN-ART-2026,DPS-GSEB-GUJ-PRE02-GEN-ART-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-PRE03-GEN-ENG-2026,DPS-GSEB-GUJ-PRE03-GEN-ENG-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-PRE03-GEN-HIN-2026,DPS-GSEB-GUJ-PRE03-GEN-HIN-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-PRE03-GEN-ART-2026,DPS-GSEB-GUJ-PRE03-GEN-ART-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-PRE04-GEN-ENG-2026,DPS-GSEB-GUJ-PRE04-GEN-ENG-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-PRE04-GEN-HIN-2026,DPS-GSEB-GUJ-PRE04-GEN-HIN-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-PRE04-GEN-ART-2026,DPS-GSEB-GUJ-PRE04-GEN-ART-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD01-GEN-ENG-2026,DPS-GSEB-GUJ-STD01-GEN-ENG-26,35,10,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD01-GEN-HIN-2026,DPS-GSEB-GUJ-STD01-GEN-HIN-26,35,10,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD01-GEN-REG_LANG-2026,DPS-GSEB-GUJ-STD01-GEN-REG_LANG-26,35,10,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD01-GEN-MATH-2026,DPS-GSEB-GUJ-STD01-GEN-MATH-26,35,10,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD01-GEN-SCI-2026,DPS-GSEB-GUJ-STD01-GEN-SCI-26,35,10,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD01-GEN-SST-2026,DPS-GSEB-GUJ-STD01-GEN-SST-26,35,10,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD01-GEN-EVS-2026,DPS-GSEB-GUJ-STD01-GEN-EVS-26,35,10,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD01-GEN-COMP-2026,DPS-GSEB-GUJ-STD01-GEN-COMP-26,35,10,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD01-GEN-ART-2026,DPS-GSEB-GUJ-STD01-GEN-ART-26,35,10,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD01-GEN-PE-2026,DPS-GSEB-GUJ-STD01-GEN-PE-26,35,10,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD02-GEN-ENG-2026,DPS-GSEB-GUJ-STD02-GEN-ENG-26,35,10,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD02-GEN-HIN-2026,DPS-GSEB-GUJ-STD02-GEN-HIN-26,35,10,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD02-GEN-REG_LANG-2026,DPS-GSEB-GUJ-STD02-GEN-REG_LANG-26,35,10,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD02-GEN-MATH-2026,DPS-GSEB-GUJ-STD02-GEN-MATH-26,35,10,30,10,15,15,40
