category_code,parent_category_code,category_type,name,idnumber,path,visible,description
DRONA_TRUST,,trust,Drona Education Trust,DRONA_TRUST,Drona Education Trust,1,Root trust category.
DRONA_TRUST_GSEB,DRONA_TRUST,board,Gujarat Board Education,DRONA_TRUST_GSEB,Drona Education Trust / Gujarat Board Education,1,Board category.
DRONA_TRUST_GSEB_DPS,DRONA_TRUST_GSEB,school,Drona Public School,DRONA_TRUST_GSEB_DPS,Drona Education Trust / Gujarat Board Education / Drona Public School,1,School category.
COURSE_TEMPLATES,,system,Course Templates,COURSE_TEMPLATES,Course Templates,1,Hidden reusable course templates.
DRONA_TRUST_GSEB_DPS_2027_2028,DRONA_TRUST_GSEB_DPS,academic_year,Academic Year 2027-2028,DRONA_TRUST_GSEB_DPS_2027_2028,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2027-2028,1,Academic year 2027-2028.
DRONA_TRUST_GSEB_DPS_2027_2028_GUJ,DRONA_TRUST_GSEB_DPS_2027_2028,medium,Gujarati Medium,DRONA_TRUST_GSEB_DPS_2027_2028_GUJ,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2027-2028 / Gujarati Medium,1,Gujarati Medium category for 2027-2028.
DRONA_TRUST_GSEB_DPS_2027_2028_GUJ_STD01,DRONA_TRUST_GSEB_DPS_2027_2028_GUJ,grade,Standard 1,DRONA_TRUST_GSEB_DPS_2027_2028_GUJ_STD01,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2027-2028 / Gujarati Medium / Standard 1,1,Standard 1 category.
DRONA_TRUST_GSEB_DPS_2027_2028_GUJ_STD01_GEN,DRONA_TRUST_GSEB_DPS_2027_2028_GUJ_STD01,stream,General,DRONA_TRUST_GSEB_DPS_2027_2028_GUJ_STD01_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2027-2028 / Gujarati Medium / Standard 1 / GEN,1,Stream/category for courses.
DRONA_TRUST_GSEB_DPS_2027_2028_GUJ_STD02,DRONA_TRUST_GSEB_DPS_2027_2028_GUJ,grade,Standard 2,DRONA_TRUST_GSEB_DPS_2027_2028_GUJ_STD02,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2027-2028 / Gujarati Medium / Standard 2,1,Standard 2 category.
DRONA_TRUST_GSEB_DPS_2027_2028_GUJ_STD02_GEN,DRONA_TRUST_GSEB_DPS_2027_2028_GUJ_STD02,stream,General,DRONA_TRUST_GSEB_DPS_2027_2028_GUJ_STD02_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2027-2028 / Gujarati Medium / Standard 2 / GEN,1,Stream/category for courses.
DRONA_TRUST_GSEB_DPS_2027_2028_GUJ_STD03,DRONA_TRUST_GSEB_DPS_2027_2028_GUJ,grade,Standard 3,DRONA_TRUST_GSEB_DPS_2027_2028_GUJ_STD03,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2027-2028 / Gujarati Medium / Standard 3,1,Standard 3 category.
DRONA_TRUST_GSEB_DPS_2027_2028_GUJ_STD03_GEN,DRONA_TRUST_GSEB_DPS_2027_2028_GUJ_STD03,stream,General,DRONA_TRUST_GSEB_DPS_2027_2028_GUJ_STD03_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2027-2028 / Gujarati Medium / Standard 3 / GEN,1,Stream/category for courses.
DRONA_TRUST_GSEB_DPS_2027_2028_GUJ_STD04,DRONA_TRUST_GSEB_DPS_2027_2028_GUJ,grade,Standard 4,DRONA_TRUST_GSEB_DPS_2027_2028_GUJ_STD04,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2027-2028 / Gujarati Medium / Standard 4,1,Standard 4 category.
DRONA_TRUST_GSEB_DPS_2027_2028_GUJ_STD04_GEN,DRONA_TRUST_GSEB_DPS_2027_2028_GUJ_STD04,stream,General,DRONA_TRUST_GSEB_DPS_2027_2028_GUJ_STD04_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2027-2028 / Gujarati Medium / Standard 4 / GEN,1,Stream/category for courses.
