academic_year,course_code,course_shortname,term_code,term_exam_template_code,enabled,required_for_completion,notes
2027-2028,DPS-GSEB-GUJ-STD01-GEN-GUJ-2027,DPS-GSEB-GUJ-STD01-GEN-GUJ-27,TERM1,TERM_EXAM_STD01_TERM1,1,1,Generated grade-wise term exam assignment.
2027-2028,DPS-GSEB-GUJ-STD01-GEN-GUJ-2027,DPS-GSEB-GUJ-STD01-GEN-GUJ-27,TERM2,TERM_EXAM_STD01_TERM2,1,1,Generated grade-wise term exam assignment.
2027-2028,DPS-GSEB-GUJ-STD01-GEN-HIN-2027,DPS-GSEB-GUJ-STD01-GEN-HIN-27,TERM1,TERM_EXAM_STD01_TERM1,1,1,Generated grade-wise term exam assignment.
2027-2028,DPS-GSEB-GUJ-STD01-GEN-HIN-2027,DPS-GSEB-GUJ-STD01-GEN-HIN-27,TERM2,TERM_EXAM_STD01_TERM2,1,1,Generated grade-wise term exam assignment.
2027-2028,DPS-GSEB-GUJ-STD01-GEN-ENG-2027,DPS-GSEB-GUJ-STD01-GEN-ENG-27,TERM1,TERM_EXAM_STD01_TERM1,1,1,Generated grade-wise term exam assignment.
2027-2028,DPS-GSEB-GUJ-STD01-GEN-ENG-2027,DPS-GSEB-GUJ-STD01-GEN-ENG-27,TERM2,TERM_EXAM_STD01_TERM2,1,1,Generated grade-wise term exam assignment.
2027-2028,DPS-GSEB-GUJ-STD01-GEN-MATH-2027,DPS-GSEB-GUJ-STD01-GEN-MATH-27,TERM1,TERM_EXAM_STD01_TERM1,1,1,Generated grade-wise term exam assignment.
2027-2028,DPS-GSEB-GUJ-STD01-GEN-MATH-2027,DPS-GSEB-GUJ-STD01-GEN-MATH-27,TERM2,TERM_EXAM_STD01_TERM2,1,1,Generated grade-wise term exam assignment.
2027-2028,DPS-GSEB-GUJ-STD01-GEN-EVS-2027,DPS-GSEB-GUJ-STD01-GEN-EVS-27,TERM1,TERM_EXAM_STD01_TERM1,1,1,Generated grade-wise term exam assignment.
2027-2028,DPS-GSEB-GUJ-STD01-GEN-EVS-2027,DPS-GSEB-GUJ-STD01-GEN-EVS-27,TERM2,TERM_EXAM_STD01_TERM2,1,1,Generated grade-wise term exam assignment.
