username,role_shortname,context_type,context_identifier,notes
trustee.patel,trustee_manager,category,DRONA_TRUST,Trust-level management access.
principal.sharma,principal,category,DRONA_TRUST_GSEB_DPS,School principal access.
it.coordinator,manager,category,DRONA_TRUST_GSEB_DPS,IT coordinator category manager access.
dps.tch.guj.guj,editingteacher,course,DPS-GSEB-GUJ-STD01-GEN-GUJ-2027,Subject teacher for DPS-GSEB-GUJ-STD01-GEN-GUJ-27.
dps.tch.guj.hin,editingteacher,course,DPS-GSEB-GUJ-STD01-GEN-HIN-2027,Subject teacher for DPS-GSEB-GUJ-STD01-GEN-HIN-27.
dps.tch.guj.eng,editingteacher,course,DPS-GSEB-GUJ-STD01-GEN-ENG-2027,Subject teacher for DPS-GSEB-GUJ-STD01-GEN-ENG-27.
dps.tch.guj.math,editingteacher,course,DPS-GSEB-GUJ-STD01-GEN-MATH-2027,Subject teacher for DPS-GSEB-GUJ-STD01-GEN-MATH-27.
dps.tch.guj.evs,editingteacher,course,DPS-GSEB-GUJ-STD01-GEN-EVS-2027,Subject teacher for DPS-GSEB-GUJ-STD01-GEN-EVS-27.
dps.tch.guj.art,editingteacher,course,DPS-GSEB-GUJ-STD01-GEN-ART-2027,Subject teacher for DPS-GSEB-GUJ-STD01-GEN-ART-27.
dps.tch.guj.pe,editingteacher,course,DPS-GSEB-GUJ-STD01-GEN-PE-2027,Subject teacher for DPS-GSEB-GUJ-STD01-GEN-PE-27.
dps.tch.guj.guj,editingteacher,course,DPS-GSEB-GUJ-STD02-GEN-GUJ-2027,Subject teacher for DPS-GSEB-GUJ-STD02-GEN-GUJ-27.
dps.tch.guj.hin,editingteacher,course,DPS-GSEB-GUJ-STD02-GEN-HIN-2027,Subject teacher for DPS-GSEB-GUJ-STD02-GEN-HIN-27.
dps.tch.guj.eng,editingteacher,course,DPS-GSEB-GUJ-STD02-GEN-ENG-2027,Subject teacher for DPS-GSEB-GUJ-STD02-GEN-ENG-27.
dps.tch.guj.math,editingteacher,course,DPS-GSEB-GUJ-STD02-GEN-MATH-2027,Subject teacher for DPS-GSEB-GUJ-STD02-GEN-MATH-27.
dps.tch.guj.evs,editingteacher,course,DPS-GSEB-GUJ-STD02-GEN-EVS-2027,Subject teacher for DPS-GSEB-GUJ-STD02-GEN-EVS-27.
dps.tch.guj.art,editingteacher,course,DPS-GSEB-GUJ-STD02-GEN-ART-2027,Subject teacher for DPS-GSEB-GUJ-STD02-GEN-ART-27.
dps.tch.guj.pe,editingteacher,course,DPS-GSEB-GUJ-STD02-GEN-PE-2027,Subject teacher for DPS-GSEB-GUJ-STD02-GEN-PE-27.
dps.tch.guj.guj,editingteacher,course,DPS-GSEB-GUJ-STD03-GEN-GUJ-2027,Subject teacher for DPS-GSEB-GUJ-STD03-GEN-GUJ-27.
dps.tch.guj.hin,editingteacher,course,DPS-GSEB-GUJ-STD03-GEN-HIN-2027,Subject teacher for DPS-GSEB-GUJ-STD03-GEN-HIN-27.
dps.tch.guj.eng,editingteacher,course,DPS-GSEB-GUJ-STD03-GEN-ENG-2027,Subject teacher for DPS-GSEB-GUJ-STD03-GEN-ENG-27.
dps.tch.guj.math,editingteacher,course,DPS-GSEB-GUJ-STD03-GEN-MATH-2027,Subject teacher for DPS-GSEB-GUJ-STD03-GEN-MATH-27.
dps.tch.guj.evs,editingteacher,course,DPS-GSEB-GUJ-STD03-GEN-EVS-2027,Subject teacher for DPS-GSEB-GUJ-STD03-GEN-EVS-27.
dps.tch.guj.art,editingteacher,course,DPS-GSEB-GUJ-STD03-GEN-ART-2027,Subject teacher for DPS-GSEB-GUJ-STD03-GEN-ART-27.
dps.tch.guj.pe,editingteacher,course,DPS-GSEB-GUJ-STD03-GEN-PE-2027,Subject teacher for DPS-GSEB-GUJ-STD03-GEN-PE-27.
dps.tch.guj.guj,editingteacher,course,DPS-GSEB-GUJ-STD04-GEN-GUJ-2027,Subject teacher for DPS-GSEB-GUJ-STD04-GEN-GUJ-27.
dps.tch.guj.hin,editingteacher,course,DPS-GSEB-GUJ-STD04-GEN-HIN-2027,Subject teacher for DPS-GSEB-GUJ-STD04-GEN-HIN-27.
dps.tch.guj.eng,editingteacher,course,DPS-GSEB-GUJ-STD04-GEN-ENG-2027,Subject teacher for DPS-GSEB-GUJ-STD04-GEN-ENG-27.
dps.tch.guj.math,editingteacher,course,DPS-GSEB-GUJ-STD04-GEN-MATH-2027,Subject teacher for DPS-GSEB-GUJ-STD04-GEN-MATH-27.
dps.tch.guj.evs,editingteacher,course,DPS-GSEB-GUJ-STD04-GEN-EVS-2027,Subject teacher for DPS-GSEB-GUJ-STD04-GEN-EVS-27.
