academic_year,grade_code,stream_code,subject_code,course_code,classwork_weight,assignment_weight,chapter_gate_weight,term_exam_weight,final_exam_weight,passing_percent
2028-2029,STD01,GEN,GUJ,DPS-GSEB-GUJ-STD01-GEN-GUJ-2028,15,20,10,25,30,40
2028-2029,STD01,GEN,HIN,DPS-GSEB-GUJ-STD01-GEN-HIN-2028,15,20,10,25,30,40
2028-2029,STD01,GEN,ENG,DPS-GSEB-GUJ-STD01-GEN-ENG-2028,15,20,10,25,30,40
2028-2029,STD01,GEN,MATH,DPS-GSEB-GUJ-STD01-GEN-MATH-2028,15,20,10,25,30,40
2028-2029,STD01,GEN,EVS,DPS-GSEB-GUJ-STD01-GEN-EVS-2028,15,20,10,25,30,40
2028-2029,STD01,GEN,ART,DPS-GSEB-GUJ-STD01-GEN-ART-2028,15,20,10,25,30,40
2028-2029,STD01,GEN,PE,DPS-GSEB-GUJ-STD01-GEN-PE-2028,15,20,10,25,30,40
2028-2029,STD02,GEN,GUJ,DPS-GSEB-GUJ-STD02-GEN-GUJ-2028,15,20,10,25,30,40
2028-2029,STD02,GEN,HIN,DPS-GSEB-GUJ-STD02-GEN-HIN-2028,15,20,10,25,30,40
2028-2029,STD02,GEN,ENG,DPS-GSEB-GUJ-STD02-GEN-ENG-2028,15,20,10,25,30,40
2028-2029,STD02,GEN,MATH,DPS-GSEB-GUJ-STD02-GEN-MATH-2028,15,20,10,25,30,40
2028-2029,STD02,GEN,EVS,DPS-GSEB-GUJ-STD02-GEN-EVS-2028,15,20,10,25,30,40
2028-2029,STD02,GEN,ART,DPS-GSEB-GUJ-STD02-GEN-ART-2028,15,20,10,25,30,40
2028-2029,STD02,GEN,PE,DPS-GSEB-GUJ-STD02-GEN-PE-2028,15,20,10,25,30,40
2028-2029,STD03,GEN,GUJ,DPS-GSEB-GUJ-STD03-GEN-GUJ-2028,15,20,10,25,30,40
2028-2029,STD03,GEN,HIN,DPS-GSEB-GUJ-STD03-GEN-HIN-2028,15,20,10,25,30,40
2028-2029,STD03,GEN,ENG,DPS-GSEB-GUJ-STD03-GEN-ENG-2028,15,20,10,25,30,40
2028-2029,STD03,GEN,MATH,DPS-GSEB-GUJ-STD03-GEN-MATH-2028,15,20,10,25,30,40
2028-2029,STD03,GEN,EVS,DPS-GSEB-GUJ-STD03-GEN-EVS-2028,15,20,10,25,30,40
2028-2029,STD03,GEN,ART,DPS-GSEB-GUJ-STD03-GEN-ART-2028,15,20,10,25,30,40
2028-2029,STD03,GEN,PE,DPS-GSEB-GUJ-STD03-GEN-PE-2028,15,20,10,25,30,40
2028-2029,STD04,GEN,GUJ,DPS-GSEB-GUJ-STD04-GEN-GUJ-2028,15,20,10,25,30,40
2028-2029,STD04,GEN,HIN,DPS-GSEB-GUJ-STD04-GEN-HIN-2028,15,20,10,25,30,40
2028-2029,STD04,GEN,ENG,DPS-GSEB-GUJ-STD04-GEN-ENG-2028,15,20,10,25,30,40
2028-2029,STD04,GEN,MATH,DPS-GSEB-GUJ-STD04-GEN-MATH-2028,15,20,10,25,30,40
2028-2029,STD04,GEN,EVS,DPS-GSEB-GUJ-STD04-GEN-EVS-2028,15,20,10,25,30,40
2028-2029,STD04,GEN,ART,DPS-GSEB-GUJ-STD04-GEN-ART-2028,15,20,10,25,30,40
2028-2029,STD04,GEN,PE,DPS-GSEB-GUJ-STD04-GEN-PE-2028,15,20,10,25,30,40
2028-2029,STD05,GEN,GUJ,DPS-GSEB-GUJ-STD05-GEN-GUJ-2028,15,20,10,25,30,40
2028-2029,STD05,GEN,HIN,DPS-GSEB-GUJ-STD05-GEN-HIN-2028,15,20,10,25,30,40
2028-2029,STD05,GEN,ENG,DPS-GSEB-GUJ-STD05-GEN-ENG-2028,15,20,10,25,30,40
2028-2029,STD05,GEN,MATH,DPS-GSEB-GUJ-STD05-GEN-MATH-2028,15,20,10,25,30,40
2028-2029,STD05,GEN,EVS,DPS-GSEB-GUJ-STD05-GEN-EVS-2028,15,20,10,25,30,40
2028-2029,STD05,GEN,ART,DPS-GSEB-GUJ-STD05-GEN-ART-2028,15,20,10,25,30,40
2028-2029,STD05,GEN,PE,DPS-GSEB-GUJ-STD05-GEN-PE-2028,15,20,10,25,30,40
2028-2029,STD06,GEN,GUJ,DPS-GSEB-GUJ-STD06-GEN-GUJ-2028,15,20,10,25,30,40
2028-2029,STD06,GEN,HIN,DPS-GSEB-GUJ-STD06-GEN-HIN-2028,15,20,10,25,30,40
2028-2029,STD06,GEN,ENG,DPS-GSEB-GUJ-STD06-GEN-ENG-2028,15,20,10,25,30,40
2028-2029,STD06,GEN,MATH,DPS-GSEB-GUJ-STD06-GEN-MATH-2028,15,20,10,25,30,40
2028-2029,STD06,GEN,SCI,DPS-GSEB-GUJ-STD06-GEN-SCI-2028,15,20,10,25,30,40
2028-2029,STD06,GEN,SS,DPS-GSEB-GUJ-STD06-GEN-SS-2028,15,20,10,25,30,40
2028-2029,STD06,GEN,CS,DPS-GSEB-GUJ-STD06-GEN-CS-2028,15,20,10,25,30,40
2028-2029,STD06,GEN,ART,DPS-GSEB-GUJ-STD06-GEN-ART-2028,15,20,10,25,30,40
2028-2029,STD06,GEN,PE,DPS-GSEB-GUJ-STD06-GEN-PE-2028,15,20,10,25,30,40
2028-2029,STD07,GEN,GUJ,DPS-GSEB-GUJ-STD07-GEN-GUJ-2028,15,20,10,25,30,40
2028-2029,STD07,GEN,HIN,DPS-GSEB-GUJ-STD07-GEN-HIN-2028,15,20,10,25,30,40
2028-2029,STD07,GEN,ENG,DPS-GSEB-GUJ-STD07-GEN-ENG-2028,15,20,10,25,30,40
2028-2029,STD07,GEN,MATH,DPS-GSEB-GUJ-STD07-GEN-MATH-2028,15,20,10,25,30,40
2028-2029,STD07,GEN,SCI,DPS-GSEB-GUJ-STD07-GEN-SCI-2028,15,20,10,25,30,40
2028-2029,STD07,GEN,SS,DPS-GSEB-GUJ-STD07-GEN-SS-2028,15,20,10,25,30,40
2028-2029,STD07,GEN,CS,DPS-GSEB-GUJ-STD07-GEN-CS-2028,15,20,10,25,30,40
2028-2029,STD07,GEN,ART,DPS-GSEB-GUJ-STD07-GEN-ART-2028,15,20,10,25,30,40
2028-2029,STD07,GEN,PE,DPS-GSEB-GUJ-STD07-GEN-PE-2028,15,20,10,25,30,40
2028-2029,STD08,GEN,GUJ,DPS-GSEB-GUJ-STD08-GEN-GUJ-2028,15,20,10,25,30,40
2028-2029,STD08,GEN,HIN,DPS-GSEB-GUJ-STD08-GEN-HIN-2028,15,20,10,25,30,40
2028-2029,STD08,GEN,ENG,DPS-GSEB-GUJ-STD08-GEN-ENG-2028,15,20,10,25,30,40
2028-2029,STD08,GEN,MATH,DPS-GSEB-GUJ-STD08-GEN-MATH-2028,15,20,10,25,30,40
2028-2029,STD08,GEN,SCI,DPS-GSEB-GUJ-STD08-GEN-SCI-2028,15,20,10,25,30,40
2028-2029,STD08,GEN,SS,DPS-GSEB-GUJ-STD08-GEN-SS-2028,15,20,10,25,30,40
2028-2029,STD08,GEN,CS,DPS-GSEB-GUJ-STD08-GEN-CS-2028,15,20,10,25,30,40
2028-2029,STD08,GEN,ART,DPS-GSEB-GUJ-STD08-GEN-ART-2028,15,20,10,25,30,40
2028-2029,STD08,GEN,PE,DPS-GSEB-GUJ-STD08-GEN-PE-2028,15,20,10,25,30,40
2028-2029,STD09,GEN,GUJ,DPS-GSEB-GUJ-STD09-GEN-GUJ-2028,15,20,10,25,30,40
2028-2029,STD09,GEN,HIN,DPS-GSEB-GUJ-STD09-GEN-HIN-2028,15,20,10,25,30,40
2028-2029,STD09,GEN,ENG,DPS-GSEB-GUJ-STD09-GEN-ENG-2028,15,20,10,25,30,40
