academic_year,course_code,course_shortname,certificate_enabled,credential_type,certificate_policy_code,requires_plugin,issue_condition,min_completion_percent,min_grade_percent,expiry_enabled,expiry_months,visible_to_student,notes
2029-2030,DPS-GSEB-GUJ-STD01-GEN-GUJ-2029,DPS-GSEB-GUJ-STD01-GEN-GUJ-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD01-GEN-HIN-2029,DPS-GSEB-GUJ-STD01-GEN-HIN-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD01-GEN-ENG-2029,DPS-GSEB-GUJ-STD01-GEN-ENG-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD01-GEN-MATH-2029,DPS-GSEB-GUJ-STD01-GEN-MATH-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD01-GEN-EVS-2029,DPS-GSEB-GUJ-STD01-GEN-EVS-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD01-GEN-ART-2029,DPS-GSEB-GUJ-STD01-GEN-ART-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD01-GEN-PE-2029,DPS-GSEB-GUJ-STD01-GEN-PE-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD02-GEN-GUJ-2029,DPS-GSEB-GUJ-STD02-GEN-GUJ-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD02-GEN-HIN-2029,DPS-GSEB-GUJ-STD02-GEN-HIN-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD02-GEN-ENG-2029,DPS-GSEB-GUJ-STD02-GEN-ENG-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD02-GEN-MATH-2029,DPS-GSEB-GUJ-STD02-GEN-MATH-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD02-GEN-EVS-2029,DPS-GSEB-GUJ-STD02-GEN-EVS-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD02-GEN-ART-2029,DPS-GSEB-GUJ-STD02-GEN-ART-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD02-GEN-PE-2029,DPS-GSEB-GUJ-STD02-GEN-PE-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD03-GEN-GUJ-2029,DPS-GSEB-GUJ-STD03-GEN-GUJ-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD03-GEN-HIN-2029,DPS-GSEB-GUJ-STD03-GEN-HIN-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD03-GEN-ENG-2029,DPS-GSEB-GUJ-STD03-GEN-ENG-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD03-GEN-MATH-2029,DPS-GSEB-GUJ-STD03-GEN-MATH-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD03-GEN-EVS-2029,DPS-GSEB-GUJ-STD03-GEN-EVS-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD03-GEN-ART-2029,DPS-GSEB-GUJ-STD03-GEN-ART-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
