grade_code,grade_name,display_order,stage,moodle_label
NUR,Nursery,1,Pre-primary,Nursery
LKG,Junior KG / LKG,2,Pre-primary,Junior KG
UKG,Senior KG / UKG,3,Pre-primary,Senior KG
BAL,Balvatika,4,Foundational,Balvatika
STD01,Std / Class 1,5,Primary,Std 1
STD02,Std / Class 2,6,Primary,Std 2
STD03,Std / Class 3,7,Primary,Std 3
STD04,Std / Class 4,8,Primary,Std 4
STD05,Std / Class 5,9,Primary,Std 5
STD06,Std / Class 6,10,Upper Primary,Std 6
STD07,Std / Class 7,11,Upper Primary,Std 7
STD08,Std / Class 8,12,Upper Primary,Std 8
STD09,Std / Class 9,13,Secondary,Std 9
STD10,Std / Class 10,14,Secondary,Std 10
STD11,Std / Class 11,15,Senior Secondary,Std 11
STD12,Std / Class 12,16,Senior Secondary,Std 12
