category_code,parent_category_code,category_type,name,idnumber,path,visible,description
GVS_TRUST,,TRUST,Green Valley Education Trust,GVS_TRUST,Green Valley Education Trust,1,Trust category for Green Valley Education Trust
GVS_TRUST_GGOV,GVS_TRUST,BOARD,Gujarat Government,GVS_TRUST_GGOV,Green Valley Education Trust/Gujarat Government,1,Board category for Gujarat Government
GVS_TRUST_GGOV_GVS,GVS_TRUST_GGOV,SCHOOL,Green Valley School,GVS_TRUST_GGOV_GVS,Green Valley Education Trust/Gujarat Government/Green Valley School,1,School category for Green Valley School
GVS_TRUST_GSEB,GVS_TRUST,BOARD,Gujarat Secondary and Higher Secondary Education Board,GVS_TRUST_GSEB,Green Valley Education Trust/Gujarat Secondary and Higher Secondary Education Board,1,Board category for Gujarat Secondary and Higher Secondary Education Board
GVS_TRUST_GSEB_GVS,GVS_TRUST_GSEB,SCHOOL,Green Valley School,GVS_TRUST_GSEB_GVS,Green Valley Education Trust/Gujarat Secondary and Higher Secondary Education Board/Green Valley School,1,School category for Green Valley School
GVS_TRUST_CBSE,GVS_TRUST,BOARD,Central Board of Secondary Education,GVS_TRUST_CBSE,Green Valley Education Trust/Central Board of Secondary Education,1,Board category for Central Board of Secondary Education
GVS_TRUST_CBSE_GVS,GVS_TRUST_CBSE,SCHOOL,Green Valley School,GVS_TRUST_CBSE_GVS,Green Valley Education Trust/Central Board of Secondary Education/Green Valley School,1,School category for Green Valley School
GVS_TRUST_NCERT,GVS_TRUST,BOARD,National Council of Educational Research and Training,GVS_TRUST_NCERT,Green Valley Education Trust/National Council of Educational Research and Training,1,Board category for National Council of Educational Research and Training
GVS_TRUST_NCERT_GVS,GVS_TRUST_NCERT,SCHOOL,Green Valley School,GVS_TRUST_NCERT_GVS,Green Valley Education Trust/National Council of Educational Research and Training/Green Valley School,1,School category for Green Valley School
GVS_TRUST_GGOV_GVS_AY2026,GVS_TRUST_GGOV_GVS,ACADEMIC_YEAR,2026-2027,GVS_TRUST_GGOV_GVS_AY2026,Green Valley Education Trust/Gujarat Government/Green Valley School/2026-2027,1,Academic year category for 2026-2027. Use to archive courses and keep year-wise records.
GVS_TRUST_GSEB_GVS_AY2026,GVS_TRUST_GSEB_GVS,ACADEMIC_YEAR,2026-2027,GVS_TRUST_GSEB_GVS_AY2026,Green Valley Education Trust/Gujarat Secondary and Higher Secondary Education Board/Green Valley School/2026-2027,1,Academic year category for 2026-2027. Use to archive courses and keep year-wise records.
GVS_TRUST_CBSE_GVS_AY2026,GVS_TRUST_CBSE_GVS,ACADEMIC_YEAR,2026-2027,GVS_TRUST_CBSE_GVS_AY2026,Green Valley Education Trust/Central Board of Secondary Education/Green Valley School/2026-2027,1,Academic year category for 2026-2027. Use to archive courses and keep year-wise records.
GVS_TRUST_NCERT_GVS_AY2026,GVS_TRUST_NCERT_GVS,ACADEMIC_YEAR,2026-2027,GVS_TRUST_NCERT_GVS_AY2026,Green Valley Education Trust/National Council of Educational Research and Training/Green Valley School/2026-2027,1,Academic year category for 2026-2027. Use to archive courses and keep year-wise records.
GVS_TRUST_GGOV_GVS_GUJ_AY2026,GVS_TRUST_GGOV_GVS_AY2026,MEDIUM,Gujarati Medium,GVS_TRUST_GGOV_GVS_GUJ_AY2026,Green Valley Education Trust/Gujarat Government/Green Valley School/2026-2027/Gujarati Medium,1,Medium category for Gujarati Medium Academic-year model copy for 2026-2027.
GVS_TRUST_GGOV_GVS_GUJ_NUR_AY2026,GVS_TRUST_GGOV_GVS_GUJ_AY2026,GRADE,Nursery,GVS_TRUST_GGOV_GVS_GUJ_NUR_AY2026,Green Valley Education Trust/Gujarat Government/Green Valley School/2026-2027/Gujarati Medium/Nursery,1,Grade category for Nursery Academic-year model copy for 2026-2027.
GVS_TRUST_GGOV_GVS_GUJ_NUR_GEN_AY2026,GVS_TRUST_GGOV_GVS_GUJ_NUR_AY2026,STREAM,General,GVS_TRUST_GGOV_GVS_GUJ_NUR_GEN_AY2026,Green Valley Education Trust/Gujarat Government/Green Valley School/2026-2027/Gujarati Medium/Nursery/General,1,Stream category for General Academic-year model copy for 2026-2027.
GVS_TRUST_GGOV_GVS_GUJ_LKG_AY2026,GVS_TRUST_GGOV_GVS_GUJ_AY2026,GRADE,Junior KG,GVS_TRUST_GGOV_GVS_GUJ_LKG_AY2026,Green Valley Education Trust/Gujarat Government/Green Valley School/2026-2027/Gujarati Medium/Junior KG,1,Grade category for Junior KG Academic-year model copy for 2026-2027.
GVS_TRUST_GGOV_GVS_GUJ_LKG_GEN_AY2026,GVS_TRUST_GGOV_GVS_GUJ_LKG_AY2026,STREAM,General,GVS_TRUST_GGOV_GVS_GUJ_LKG_GEN_AY2026,Green Valley Education Trust/Gujarat Government/Green Valley School/2026-2027/Gujarati Medium/Junior KG/General,1,Stream category for General Academic-year model copy for 2026-2027.
