cohort_code,name,idnumber,context_category_code,board_code,school_code,medium_code,grade_code,stream_code,division_code,academic_year,visible,description
GVS-2026-GGOV-GUJ-NUR-GEN-A,Green Valley School 2026-2027 GGOV GUJ NUR GEN Division A,GVS-2026-GGOV-GUJ-NUR-GEN-A,GVS_TRUST_GGOV_GVS_GUJ_NUR_GEN,GGOV,GVS,GUJ,NUR,GEN,A,2026-2027,1,Student cohort for bulk enrolment into stream subject courses.
GVS-2026-GGOV-GUJ-NUR-GEN-B,Green Valley School 2026-2027 GGOV GUJ NUR GEN Division B,GVS-2026-GGOV-GUJ-NUR-GEN-B,GVS_TRUST_GGOV_GVS_GUJ_NUR_GEN,GGOV,GVS,GUJ,NUR,GEN,B,2026-2027,1,Student cohort for bulk enrolment into stream subject courses.
GVS-2026-GGOV-GUJ-LKG-GEN-A,Green Valley School 2026-2027 GGOV GUJ LKG GEN Division A,GVS-2026-GGOV-GUJ-LKG-GEN-A,GVS_TRUST_GGOV_GVS_GUJ_LKG_GEN,GGOV,GVS,GUJ,LKG,GEN,A,2026-2027,1,Student cohort for bulk enrolment into stream subject courses.
GVS-2026-GGOV-GUJ-LKG-GEN-B,Green Valley School 2026-2027 GGOV GUJ LKG GEN Division B,GVS-2026-GGOV-GUJ-LKG-GEN-B,GVS_TRUST_GGOV_GVS_GUJ_LKG_GEN,GGOV,GVS,GUJ,LKG,GEN,B,2026-2027,1,Student cohort for bulk enrolment into stream subject courses.
GVS-2026-GGOV-GUJ-UKG-GEN-A,Green Valley School 2026-2027 GGOV GUJ UKG GEN Division A,GVS-2026-GGOV-GUJ-UKG-GEN-A,GVS_TRUST_GGOV_GVS_GUJ_UKG_GEN,GGOV,GVS,GUJ,UKG,GEN,A,2026-2027,1,Student cohort for bulk enrolment into stream subject courses.
GVS-2026-GGOV-GUJ-UKG-GEN-B,Green Valley School 2026-2027 GGOV GUJ UKG GEN Division B,GVS-2026-GGOV-GUJ-UKG-GEN-B,GVS_TRUST_GGOV_GVS_GUJ_UKG_GEN,GGOV,GVS,GUJ,UKG,GEN,B,2026-2027,1,Student cohort for bulk enrolment into stream subject courses.
GVS-2026-GGOV-GUJ-BAL-GEN-A,Green Valley School 2026-2027 GGOV GUJ BAL GEN Division A,GVS-2026-GGOV-GUJ-BAL-GEN-A,GVS_TRUST_GGOV_GVS_GUJ_BAL_GEN,GGOV,GVS,GUJ,BAL,GEN,A,2026-2027,1,Student cohort for bulk enrolment into stream subject courses.
GVS-2026-GGOV-GUJ-BAL-GEN-B,Green Valley School 2026-2027 GGOV GUJ BAL GEN Division B,GVS-2026-GGOV-GUJ-BAL-GEN-B,GVS_TRUST_GGOV_GVS_GUJ_BAL_GEN,GGOV,GVS,GUJ,BAL,GEN,B,2026-2027,1,Student cohort for bulk enrolment into stream subject courses.
GVS-2026-GGOV-GUJ-STD01-GEN-A,Green Valley School 2026-2027 GGOV GUJ STD01 GEN Division A,GVS-2026-GGOV-GUJ-STD01-GEN-A,GVS_TRUST_GGOV_GVS_GUJ_STD01_GEN,GGOV,GVS,GUJ,STD01,GEN,A,2026-2027,1,Student cohort for bulk enrolment into stream subject courses.
GVS-2026-GGOV-GUJ-STD01-GEN-B,Green Valley School 2026-2027 GGOV GUJ STD01 GEN Division B,GVS-2026-GGOV-GUJ-STD01-GEN-B,GVS_TRUST_GGOV_GVS_GUJ_STD01_GEN,GGOV,GVS,GUJ,STD01,GEN,B,2026-2027,1,Student cohort for bulk enrolment into stream subject courses.
GVS-2026-GGOV-GUJ-STD02-GEN-A,Green Valley School 2026-2027 GGOV GUJ STD02 GEN Division A,GVS-2026-GGOV-GUJ-STD02-GEN-A,GVS_TRUST_GGOV_GVS_GUJ_STD02_GEN,GGOV,GVS,GUJ,STD02,GEN,A,2026-2027,1,Student cohort for bulk enrolment into stream subject courses.
GVS-2026-GGOV-GUJ-STD02-GEN-B,Green Valley School 2026-2027 GGOV GUJ STD02 GEN Division B,GVS-2026-GGOV-GUJ-STD02-GEN-B,GVS_TRUST_GGOV_GVS_GUJ_STD02_GEN,GGOV,GVS,GUJ,STD02,GEN,B,2026-2027,1,Student cohort for bulk enrolment into stream subject courses.
GVS-2026-GGOV-GUJ-STD03-GEN-A,Green Valley School 2026-2027 GGOV GUJ STD03 GEN Division A,GVS-2026-GGOV-GUJ-STD03-GEN-A,GVS_TRUST_GGOV_GVS_GUJ_STD03_GEN,GGOV,GVS,GUJ,STD03,GEN,A,2026-2027,1,Student cohort for bulk enrolment into stream subject courses.
