lookup_type,code,label
board_code,GGOV,Gujarat Government
board_code,GSEB,Gujarat Secondary and Higher Secondary Education Board
board_code,CBSE,Central Board of Secondary Education
board_code,NCERT,National Council of Educational Research and Training
medium_code,GUJ,Gujarati Medium
medium_code,ENG,English Medium
medium_code,HIN,Hindi Medium
medium_code,MAR,Marathi Medium
medium_code,URD,Urdu Medium
medium_code,SAN,Sanskrit Medium
medium_code,TAM,Tamil Medium
grade_code,NUR,Nursery
grade_code,LKG,Junior KG / LKG
grade_code,UKG,Senior KG / UKG
grade_code,BAL,Balvatika
grade_code,STD01,Std / Class 1
grade_code,STD02,Std / Class 2
grade_code,STD03,Std / Class 3
grade_code,STD04,Std / Class 4
grade_code,STD05,Std / Class 5
grade_code,STD06,Std / Class 6
grade_code,STD07,Std / Class 7
grade_code,STD08,Std / Class 8
grade_code,STD09,Std / Class 9
grade_code,STD10,Std / Class 10
grade_code,STD11,Std / Class 11
grade_code,STD12,Std / Class 12
stream_code,GEN,General
stream_code,SCI,Science
stream_code,COM,Commerce
stream_code,ARTS,Arts / Humanities
stream_code,VOC,Vocational
division_code,A,Division A
division_code,B,Division B
division_code,C,Division C
division_code,D,Division D
subject_code,FLIT,Foundational Literacy
subject_code,FNUM,Foundational Numeracy
subject_code,RHYM,Rhymes and Stories
subject_code,PLAY,Play and Activity
subject_code,ARTC,Art and Craft
subject_code,HEALTH,Health and Hygiene
subject_code,GUJ,Gujarati
subject_code,ENG,English
subject_code,HIN,Hindi
subject_code,SAN,Sanskrit
subject_code,MAR,Marathi
subject_code,URD,Urdu
subject_code,TAM,Tamil
subject_code,FRE,French
subject_code,GER,German
subject_code,SPA,Spanish
subject_code,MATH,Mathematics
subject_code,AMATH,Applied Mathematics
subject_code,EVS,Environmental Studies
subject_code,SCI,Science
subject_code,SS,Social Science
subject_code,COMP,Computer Studies
subject_code,AI,Artificial Intelligence
subject_code,HPE,Health and Physical Education
subject_code,VALUE,Value Education / Moral Science
subject_code,WORKEX,Work Experience
subject_code,ARTEDU,Art Education
subject_code,NCC,National Cadet Corps
subject_code,PHY,Physics
subject_code,CHEM,Chemistry
subject_code,BIO,Biology
subject_code,BIOTECH,Biotechnology
subject_code,ENGGFX,Engineering Graphics
subject_code,CS,Computer Science
subject_code,IP,Informatics Practices
subject_code,ACC,Accountancy
subject_code,BST,Business Studies
subject_code,BADMIN,Business Administration / Management
subject_code,ECO,Economics
subject_code,STAT,Statistics
subject_code,ENT,Entrepreneurship
subject_code,BKACC,Elements of Book Keeping and Accountancy
subject_code,EOB,Elements of Business
subject_code,HIST,History
subject_code,GEO,Geography
subject_code,POLSCI,Political Science
subject_code,SOC,Sociology
subject_code,PSY,Psychology
subject_code,PHIL,Philosophy
subject_code,HOMESCI,Home Science
subject_code,LEGAL,Legal Studies
subject_code,FINEART,Fine Arts / Painting
subject_code,MUSIC,Music
subject_code,DANCE,Dance
subject_code,ITITES,Information Technology / IT-ITES
subject_code,RETAIL,Retail
subject_code,HEALTHCARE,Healthcare
subject_code,TOURISM,Tourism and Hospitality
subject_code,AGRI,Agriculture
subject_code,BANKING,Banking and Insurance
subject_code,AUTO,Automotive
subject_code,ELECT,Electronics and Hardware
subject_code,BEAUTY,Beauty and Wellness
