course_shortname,course_code,course_fullname,template_code,templatecourse_shortname,academic_year,term,grade_code,grade_band,subject_code,stream_code,visible_after_creation,enablecompletion,apply_sections,apply_gradebook,apply_completion_defaults,certificate_policy_code,notes
GVS-GGOV-GUJ-NUR-GEN-FLIT-26,GVS-GGOV-GUJ-NUR-GEN-FLIT-2026,Green Valley School - GGOV - Gujarati Medium - Nursery - General - Foundational Literacy - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,NUR,KG-G2,FLIT,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-NUR-GEN-FNUM-26,GVS-GGOV-GUJ-NUR-GEN-FNUM-2026,Green Valley School - GGOV - Gujarati Medium - Nursery - General - Foundational Numeracy - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,NUR,KG-G2,FNUM,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-NUR-GEN-RHYM-26,GVS-GGOV-GUJ-NUR-GEN-RHYM-2026,Green Valley School - GGOV - Gujarati Medium - Nursery - General - Rhymes and Stories - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,NUR,KG-G2,RHYM,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-NUR-GEN-PLAY-26,GVS-GGOV-GUJ-NUR-GEN-PLAY-2026,Green Valley School - GGOV - Gujarati Medium - Nursery - General - Play and Activity - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,NUR,KG-G2,PLAY,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-NUR-GEN-ARTC-26,GVS-GGOV-GUJ-NUR-GEN-ARTC-2026,Green Valley School - GGOV - Gujarati Medium - Nursery - General - Art and Craft - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,NUR,KG-G2,ARTC,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-NUR-GEN-HEALTH-26,GVS-GGOV-GUJ-NUR-GEN-HEALTH-2026,Green Valley School - GGOV - Gujarati Medium - Nursery - General - Health and Hygiene - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,NUR,KG-G2,HEALTH,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-LKG-GEN-FLIT-26,GVS-GGOV-GUJ-LKG-GEN-FLIT-2026,Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Foundational Literacy - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,LKG,KG-G2,FLIT,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-LKG-GEN-FNUM-26,GVS-GGOV-GUJ-LKG-GEN-FNUM-2026,Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Foundational Numeracy - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,LKG,KG-G2,FNUM,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-LKG-GEN-RHYM-26,GVS-GGOV-GUJ-LKG-GEN-RHYM-2026,Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Rhymes and Stories - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,LKG,KG-G2,RHYM,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-LKG-GEN-PLAY-26,GVS-GGOV-GUJ-LKG-GEN-PLAY-2026,Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Play and Activity - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,LKG,KG-G2,PLAY,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
