category_code,parent_category_code,category_type,name,idnumber,path,visible,description
GVS_TRUST,,TRUST,Green Valley Education Trust,GVS_TRUST,Green Valley Education Trust,1,Trust category for Green Valley Education Trust
GVS_TRUST_GGOV,GVS_TRUST,BOARD,Gujarat Government,GVS_TRUST_GGOV,Green Valley Education Trust/Gujarat Government,1,Board category for Gujarat Government
GVS_TRUST_GGOV_GVS,GVS_TRUST_GGOV,SCHOOL,Green Valley School,GVS_TRUST_GGOV_GVS,Green Valley Education Trust/Gujarat Government/Green Valley School,1,School category for Green Valley School
GVS_TRUST_GGOV_GVS_GUJ,GVS_TRUST_GGOV_GVS,MEDIUM,Gujarati Medium,GVS_TRUST_GGOV_GVS_GUJ,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium,1,Medium category for Gujarati Medium
GVS_TRUST_GGOV_GVS_GUJ_NUR,GVS_TRUST_GGOV_GVS_GUJ,GRADE,Nursery,GVS_TRUST_GGOV_GVS_GUJ_NUR,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Nursery,1,Grade category for Nursery
GVS_TRUST_GGOV_GVS_GUJ_NUR_GEN,GVS_TRUST_GGOV_GVS_GUJ_NUR,STREAM,General,GVS_TRUST_GGOV_GVS_GUJ_NUR_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Nursery/General,1,Stream category for General
GVS_TRUST_GGOV_GVS_GUJ_LKG,GVS_TRUST_GGOV_GVS_GUJ,GRADE,Junior KG,GVS_TRUST_GGOV_GVS_GUJ_LKG,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Junior KG,1,Grade category for Junior KG
GVS_TRUST_GGOV_GVS_GUJ_LKG_GEN,GVS_TRUST_GGOV_GVS_GUJ_LKG,STREAM,General,GVS_TRUST_GGOV_GVS_GUJ_LKG_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Junior KG/General,1,Stream category for General
GVS_TRUST_GGOV_GVS_GUJ_UKG,GVS_TRUST_GGOV_GVS_GUJ,GRADE,Senior KG,GVS_TRUST_GGOV_GVS_GUJ_UKG,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Senior KG,1,Grade category for Senior KG
GVS_TRUST_GGOV_GVS_GUJ_UKG_GEN,GVS_TRUST_GGOV_GVS_GUJ_UKG,STREAM,General,GVS_TRUST_GGOV_GVS_GUJ_UKG_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Senior KG/General,1,Stream category for General
GVS_TRUST_GGOV_GVS_GUJ_BAL,GVS_TRUST_GGOV_GVS_GUJ,GRADE,Balvatika,GVS_TRUST_GGOV_GVS_GUJ_BAL,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Balvatika,1,Grade category for Balvatika
GVS_TRUST_GGOV_GVS_GUJ_BAL_GEN,GVS_TRUST_GGOV_GVS_GUJ_BAL,STREAM,General,GVS_TRUST_GGOV_GVS_GUJ_BAL_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Balvatika/General,1,Stream category for General
GVS_TRUST_GGOV_GVS_GUJ_STD01,GVS_TRUST_GGOV_GVS_GUJ,GRADE,Std 1,GVS_TRUST_GGOV_GVS_GUJ_STD01,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Std 1,1,Grade category for Std 1
GVS_TRUST_GGOV_GVS_GUJ_STD01_GEN,GVS_TRUST_GGOV_GVS_GUJ_STD01,STREAM,General,GVS_TRUST_GGOV_GVS_GUJ_STD01_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Std 1/General,1,Stream category for General
GVS_TRUST_GGOV_GVS_GUJ_STD02,GVS_TRUST_GGOV_GVS_GUJ,GRADE,Std 2,GVS_TRUST_GGOV_GVS_GUJ_STD02,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Std 2,1,Grade category for Std 2
GVS_TRUST_GGOV_GVS_GUJ_STD02_GEN,GVS_TRUST_GGOV_GVS_GUJ_STD02,STREAM,General,GVS_TRUST_GGOV_GVS_GUJ_STD02_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Std 2/General,1,Stream category for General
GVS_TRUST_GGOV_GVS_GUJ_STD03,GVS_TRUST_GGOV_GVS_GUJ,GRADE,Std 3,GVS_TRUST_GGOV_GVS_GUJ_STD03,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Std 3,1,Grade category for Std 3
GVS_TRUST_GGOV_GVS_GUJ_STD03_GEN,GVS_TRUST_GGOV_GVS_GUJ_STD03,STREAM,General,GVS_TRUST_GGOV_GVS_GUJ_STD03_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Std 3/General,1,Stream category for General
