shortname,fullname,idnumber,category_idnumber,category_path,visible,format,numsections,enablecompletion,showgrades,showreports,groupmode,groupmodeforce,templatecourse,summary,tags
GVS-GGOV-GUJ-NUR-GEN-FLIT-26,Green Valley School - GGOV - Gujarati Medium - Nursery - General - Foundational Literacy - 2026-2027,GVS-GGOV-GUJ-NUR-GEN-FLIT-2026,GVS_TRUST_GGOV_GVS_GUJ_NUR_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Nursery/General,0,topics,12,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Baseline course for Green Valley School - GGOV - Gujarati Medium - Nursery - General - Foundational Literacy - 2026-2027. Division groups are created inside the course.,"standard-template,GGOV,GUJ,NUR,GEN,FLIT"
GVS-GGOV-GUJ-NUR-GEN-FNUM-26,Green Valley School - GGOV - Gujarati Medium - Nursery - General - Foundational Numeracy - 2026-2027,GVS-GGOV-GUJ-NUR-GEN-FNUM-2026,GVS_TRUST_GGOV_GVS_GUJ_NUR_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Nursery/General,0,topics,12,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Baseline course for Green Valley School - GGOV - Gujarati Medium - Nursery - General - Foundational Numeracy - 2026-2027. Division groups are created inside the course.,"standard-template,GGOV,GUJ,NUR,GEN,FNUM"
GVS-GGOV-GUJ-NUR-GEN-RHYM-26,Green Valley School - GGOV - Gujarati Medium - Nursery - General - Rhymes and Stories - 2026-2027,GVS-GGOV-GUJ-NUR-GEN-RHYM-2026,GVS_TRUST_GGOV_GVS_GUJ_NUR_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Nursery/General,0,topics,12,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Baseline course for Green Valley School - GGOV - Gujarati Medium - Nursery - General - Rhymes and Stories - 2026-2027. Division groups are created inside the course.,"standard-template,GGOV,GUJ,NUR,GEN,RHYM"
GVS-GGOV-GUJ-NUR-GEN-PLAY-26,Green Valley School - GGOV - Gujarati Medium - Nursery - General - Play and Activity - 2026-2027,GVS-GGOV-GUJ-NUR-GEN-PLAY-2026,GVS_TRUST_GGOV_GVS_GUJ_NUR_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Nursery/General,0,topics,12,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Baseline course for Green Valley School - GGOV - Gujarati Medium - Nursery - General - Play and Activity - 2026-2027. Division groups are created inside the course.,"standard-template,GGOV,GUJ,NUR,GEN,PLAY"
GVS-GGOV-GUJ-NUR-GEN-ARTC-26,Green Valley School - GGOV - Gujarati Medium - Nursery - General - Art and Craft - 2026-2027,GVS-GGOV-GUJ-NUR-GEN-ARTC-2026,GVS_TRUST_GGOV_GVS_GUJ_NUR_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Nursery/General,0,topics,12,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Baseline course for Green Valley School - GGOV - Gujarati Medium - Nursery - General - Art and Craft - 2026-2027. Division groups are created inside the course.,"standard-template,GGOV,GUJ,NUR,GEN,ARTC"
GVS-GGOV-GUJ-NUR-GEN-HEALTH-26,Green Valley School - GGOV - Gujarati Medium - Nursery - General - Health and Hygiene - 2026-2027,GVS-GGOV-GUJ-NUR-GEN-HEALTH-2026,GVS_TRUST_GGOV_GVS_GUJ_NUR_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Nursery/General,0,topics,12,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Baseline course for Green Valley School - GGOV - Gujarati Medium - Nursery - General - Health and Hygiene - 2026-2027. Division groups are created inside the course.,"standard-template,GGOV,GUJ,NUR,GEN,HEALTH"
GVS-GGOV-GUJ-LKG-GEN-FLIT-26,Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Foundational Literacy - 2026-2027,GVS-GGOV-GUJ-LKG-GEN-FLIT-2026,GVS_TRUST_GGOV_GVS_GUJ_LKG_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Junior KG/General,0,topics,12,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Baseline course for Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Foundational Literacy - 2026-2027. Division groups are created inside the course.,"standard-template,GGOV,GUJ,LKG,GEN,FLIT"
GVS-GGOV-GUJ-LKG-GEN-FNUM-26,Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Foundational Numeracy - 2026-2027,GVS-GGOV-GUJ-LKG-GEN-FNUM-2026,GVS_TRUST_GGOV_GVS_GUJ_LKG_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Junior KG/General,0,topics,12,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Baseline course for Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Foundational Numeracy - 2026-2027. Division groups are created inside the course.,"standard-template,GGOV,GUJ,LKG,GEN,FNUM"
GVS-GGOV-GUJ-LKG-GEN-RHYM-26,Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Rhymes and Stories - 2026-2027,GVS-GGOV-GUJ-LKG-GEN-RHYM-2026,GVS_TRUST_GGOV_GVS_GUJ_LKG_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Junior KG/General,0,topics,12,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Baseline course for Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Rhymes and Stories - 2026-2027. Division groups are created inside the course.,"standard-template,GGOV,GUJ,LKG,GEN,RHYM"
GVS-GGOV-GUJ-LKG-GEN-PLAY-26,Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Play and Activity - 2026-2027,GVS-GGOV-GUJ-LKG-GEN-PLAY-2026,GVS_TRUST_GGOV_GVS_GUJ_LKG_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Junior KG/General,0,topics,12,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Baseline course for Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Play and Activity - 2026-2027. Division groups are created inside the course.,"standard-template,GGOV,GUJ,LKG,GEN,PLAY"
GVS-GGOV-GUJ-LKG-GEN-ARTC-26,Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Art and Craft - 2026-2027,GVS-GGOV-GUJ-LKG-GEN-ARTC-2026,GVS_TRUST_GGOV_GVS_GUJ_LKG_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Junior KG/General,0,topics,12,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Baseline course for Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Art and Craft - 2026-2027. Division groups are created inside the course.,"standard-template,GGOV,GUJ,LKG,GEN,ARTC"
GVS-GGOV-GUJ-LKG-GEN-HEALTH-26,Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Health and Hygiene - 2026-2027,GVS-GGOV-GUJ-LKG-GEN-HEALTH-2026,GVS_TRUST_GGOV_GVS_GUJ_LKG_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Junior KG/General,0,topics,12,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Baseline course for Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Health and Hygiene - 2026-2027. Division groups are created inside the course.,"standard-template,GGOV,GUJ,LKG,GEN,HEALTH"
GVS-GGOV-GUJ-UKG-GEN-FLIT-26,Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Foundational Literacy - 2026-2027,GVS-GGOV-GUJ-UKG-GEN-FLIT-2026,GVS_TRUST_GGOV_GVS_GUJ_UKG_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Senior KG/General,0,topics,12,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Baseline course for Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Foundational Literacy - 2026-2027. Division groups are created inside the course.,"standard-template,GGOV,GUJ,UKG,GEN,FLIT"
GVS-GGOV-GUJ-UKG-GEN-FNUM-26,Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Foundational Numeracy - 2026-2027,GVS-GGOV-GUJ-UKG-GEN-FNUM-2026,GVS_TRUST_GGOV_GVS_GUJ_UKG_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Senior KG/General,0,topics,12,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Baseline course for Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Foundational Numeracy - 2026-2027. Division groups are created inside the course.,"standard-template,GGOV,GUJ,UKG,GEN,FNUM"
GVS-GGOV-GUJ-UKG-GEN-RHYM-26,Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Rhymes and Stories - 2026-2027,GVS-GGOV-GUJ-UKG-GEN-RHYM-2026,GVS_TRUST_GGOV_GVS_GUJ_UKG_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Senior KG/General,0,topics,12,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Baseline course for Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Rhymes and Stories - 2026-2027. Division groups are created inside the course.,"standard-template,GGOV,GUJ,UKG,GEN,RHYM"
GVS-GGOV-GUJ-UKG-GEN-PLAY-26,Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Play and Activity - 2026-2027,GVS-GGOV-GUJ-UKG-GEN-PLAY-2026,GVS_TRUST_GGOV_GVS_GUJ_UKG_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Senior KG/General,0,topics,12,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Baseline course for Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Play and Activity - 2026-2027. Division groups are created inside the course.,"standard-template,GGOV,GUJ,UKG,GEN,PLAY"
GVS-GGOV-GUJ-UKG-GEN-ARTC-26,Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Art and Craft - 2026-2027,GVS-GGOV-GUJ-UKG-GEN-ARTC-2026,GVS_TRUST_GGOV_GVS_GUJ_UKG_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Senior KG/General,0,topics,12,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Baseline course for Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Art and Craft - 2026-2027. Division groups are created inside the course.,"standard-template,GGOV,GUJ,UKG,GEN,ARTC"
GVS-GGOV-GUJ-UKG-GEN-HEALTH-26,Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Health and Hygiene - 2026-2027,GVS-GGOV-GUJ-UKG-GEN-HEALTH-2026,GVS_TRUST_GGOV_GVS_GUJ_UKG_GEN,Green Valley Education Trust/Gujarat Government/Green Valley School/Gujarati Medium/Senior KG/General,0,topics,12,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,Baseline course for Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Health and Hygiene - 2026-2027. Division groups are created inside the course.,"standard-template,GGOV,GUJ,UKG,GEN,HEALTH"
