board_code,medium_code,grade_code,stream_code,subject_code,subject_name,subject_category,is_compulsory,is_elective,display_order,source_note
GGOV,GUJ,NUR,GEN,FLIT,Foundational Literacy,Foundation,0,1,1,Baseline Indian school subject matrix; verify board-specific electives before production.
GGOV,GUJ,NUR,GEN,FNUM,Foundational Numeracy,Foundation,0,1,2,Baseline Indian school subject matrix; verify board-specific electives before production.
GGOV,GUJ,NUR,GEN,RHYM,Rhymes and Stories,Foundation,0,1,3,Baseline Indian school subject matrix; verify board-specific electives before production.
GGOV,GUJ,NUR,GEN,PLAY,Play and Activity,Foundation,0,1,4,Baseline Indian school subject matrix; verify board-specific electives before production.
GGOV,GUJ,NUR,GEN,ARTC,Art and Craft,Co-curricular,0,1,5,Baseline Indian school subject matrix; verify board-specific electives before production.
GGOV,GUJ,NUR,GEN,HEALTH,Health and Hygiene,Co-curricular,0,1,6,Baseline Indian school subject matrix; verify board-specific electives before production.
GGOV,GUJ,LKG,GEN,FLIT,Foundational Literacy,Foundation,0,1,1,Baseline Indian school subject matrix; verify board-specific electives before production.
GGOV,GUJ,LKG,GEN,FNUM,Foundational Numeracy,Foundation,0,1,2,Baseline Indian school subject matrix; verify board-specific electives before production.
GGOV,GUJ,LKG,GEN,RHYM,Rhymes and Stories,Foundation,0,1,3,Baseline Indian school subject matrix; verify board-specific electives before production.
GGOV,GUJ,LKG,GEN,PLAY,Play and Activity,Foundation,0,1,4,Baseline Indian school subject matrix; verify board-specific electives before production.
GGOV,GUJ,LKG,GEN,ARTC,Art and Craft,Co-curricular,0,1,5,Baseline Indian school subject matrix; verify board-specific electives before production.
GGOV,GUJ,LKG,GEN,HEALTH,Health and Hygiene,Co-curricular,0,1,6,Baseline Indian school subject matrix; verify board-specific electives before production.
GGOV,GUJ,UKG,GEN,FLIT,Foundational Literacy,Foundation,0,1,1,Baseline Indian school subject matrix; verify board-specific electives before production.
GGOV,GUJ,UKG,GEN,FNUM,Foundational Numeracy,Foundation,0,1,2,Baseline Indian school subject matrix; verify board-specific electives before production.
