course_code,course_shortname,group_name,group_idnumber,board_code,school_code,medium_code,grade_code,stream_code,division_code,description
GVS-GGOV-GUJ-NUR-GEN-FLIT-2026,GVS-GGOV-GUJ-NUR-GEN-FLIT-26,Division A,GVS-GGOV-GUJ-NUR-GEN-FLIT-2026-A,GGOV,GVS,GUJ,NUR,GEN,A,Division A group for GVS-GGOV-GUJ-NUR-GEN-FLIT-26
GVS-GGOV-GUJ-NUR-GEN-FLIT-2026,GVS-GGOV-GUJ-NUR-GEN-FLIT-26,Division B,GVS-GGOV-GUJ-NUR-GEN-FLIT-2026-B,GGOV,GVS,GUJ,NUR,GEN,B,Division B group for GVS-GGOV-GUJ-NUR-GEN-FLIT-26
GVS-GGOV-GUJ-NUR-GEN-FNUM-2026,GVS-GGOV-GUJ-NUR-GEN-FNUM-26,Division A,GVS-GGOV-GUJ-NUR-GEN-FNUM-2026-A,GGOV,GVS,GUJ,NUR,GEN,A,Division A group for GVS-GGOV-GUJ-NUR-GEN-FNUM-26
GVS-GGOV-GUJ-NUR-GEN-FNUM-2026,GVS-GGOV-GUJ-NUR-GEN-FNUM-26,Division B,GVS-GGOV-GUJ-NUR-GEN-FNUM-2026-B,GGOV,GVS,GUJ,NUR,GEN,B,Division B group for GVS-GGOV-GUJ-NUR-GEN-FNUM-26
GVS-GGOV-GUJ-NUR-GEN-RHYM-2026,GVS-GGOV-GUJ-NUR-GEN-RHYM-26,Division A,GVS-GGOV-GUJ-NUR-GEN-RHYM-2026-A,GGOV,GVS,GUJ,NUR,GEN,A,Division A group for GVS-GGOV-GUJ-NUR-GEN-RHYM-26
GVS-GGOV-GUJ-NUR-GEN-RHYM-2026,GVS-GGOV-GUJ-NUR-GEN-RHYM-26,Division B,GVS-GGOV-GUJ-NUR-GEN-RHYM-2026-B,GGOV,GVS,GUJ,NUR,GEN,B,Division B group for GVS-GGOV-GUJ-NUR-GEN-RHYM-26
GVS-GGOV-GUJ-NUR-GEN-PLAY-2026,GVS-GGOV-GUJ-NUR-GEN-PLAY-26,Division A,GVS-GGOV-GUJ-NUR-GEN-PLAY-2026-A,GGOV,GVS,GUJ,NUR,GEN,A,Division A group for GVS-GGOV-GUJ-NUR-GEN-PLAY-26
GVS-GGOV-GUJ-NUR-GEN-PLAY-2026,GVS-GGOV-GUJ-NUR-GEN-PLAY-26,Division B,GVS-GGOV-GUJ-NUR-GEN-PLAY-2026-B,GGOV,GVS,GUJ,NUR,GEN,B,Division B group for GVS-GGOV-GUJ-NUR-GEN-PLAY-26
GVS-GGOV-GUJ-NUR-GEN-ARTC-2026,GVS-GGOV-GUJ-NUR-GEN-ARTC-26,Division A,GVS-GGOV-GUJ-NUR-GEN-ARTC-2026-A,GGOV,GVS,GUJ,NUR,GEN,A,Division A group for GVS-GGOV-GUJ-NUR-GEN-ARTC-26
GVS-GGOV-GUJ-NUR-GEN-ARTC-2026,GVS-GGOV-GUJ-NUR-GEN-ARTC-26,Division B,GVS-GGOV-GUJ-NUR-GEN-ARTC-2026-B,GGOV,GVS,GUJ,NUR,GEN,B,Division B group for GVS-GGOV-GUJ-NUR-GEN-ARTC-26
GVS-GGOV-GUJ-NUR-GEN-HEALTH-2026,GVS-GGOV-GUJ-NUR-GEN-HEALTH-26,Division A,GVS-GGOV-GUJ-NUR-GEN-HEALTH-2026-A,GGOV,GVS,GUJ,NUR,GEN,A,Division A group for GVS-GGOV-GUJ-NUR-GEN-HEALTH-26
