course_code,fullname,shortname,idnumber,category_code,board_code,school_code,medium_code,grade_code,stream_code,subject_code,subject_name,academic_year,format,numsections,visible,groupmode,groupmodeforce,summary
GVS-GGOV-GUJ-NUR-GEN-FLIT-2027,Green Valley School - GGOV - Gujarati Medium - Nursery - General - Foundational Literacy - 2027-2028,GVS-GGOV-GUJ-NUR-GEN-FLIT-27,GVS-GGOV-GUJ-NUR-GEN-FLIT-2027,GVS_TRUST_GGOV_GVS_GUJ_NUR_GEN,GGOV,GVS,GUJ,NUR,GEN,FLIT,Foundational Literacy,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Nursery - General - Foundational Literacy - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-NUR-GEN-FNUM-2027,Green Valley School - GGOV - Gujarati Medium - Nursery - General - Foundational Numeracy - 2027-2028,GVS-GGOV-GUJ-NUR-GEN-FNUM-27,GVS-GGOV-GUJ-NUR-GEN-FNUM-2027,GVS_TRUST_GGOV_GVS_GUJ_NUR_GEN,GGOV,GVS,GUJ,NUR,GEN,FNUM,Foundational Numeracy,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Nursery - General - Foundational Numeracy - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-NUR-GEN-RHYM-2027,Green Valley School - GGOV - Gujarati Medium - Nursery - General - Rhymes and Stories - 2027-2028,GVS-GGOV-GUJ-NUR-GEN-RHYM-27,GVS-GGOV-GUJ-NUR-GEN-RHYM-2027,GVS_TRUST_GGOV_GVS_GUJ_NUR_GEN,GGOV,GVS,GUJ,NUR,GEN,RHYM,Rhymes and Stories,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Nursery - General - Rhymes and Stories - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-NUR-GEN-PLAY-2027,Green Valley School - GGOV - Gujarati Medium - Nursery - General - Play and Activity - 2027-2028,GVS-GGOV-GUJ-NUR-GEN-PLAY-27,GVS-GGOV-GUJ-NUR-GEN-PLAY-2027,GVS_TRUST_GGOV_GVS_GUJ_NUR_GEN,GGOV,GVS,GUJ,NUR,GEN,PLAY,Play and Activity,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Nursery - General - Play and Activity - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-NUR-GEN-ARTC-2027,Green Valley School - GGOV - Gujarati Medium - Nursery - General - Art and Craft - 2027-2028,GVS-GGOV-GUJ-NUR-GEN-ARTC-27,GVS-GGOV-GUJ-NUR-GEN-ARTC-2027,GVS_TRUST_GGOV_GVS_GUJ_NUR_GEN,GGOV,GVS,GUJ,NUR,GEN,ARTC,Art and Craft,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Nursery - General - Art and Craft - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-NUR-GEN-HEALTH-2027,Green Valley School - GGOV - Gujarati Medium - Nursery - General - Health and Hygiene - 2027-2028,GVS-GGOV-GUJ-NUR-GEN-HEALTH-27,GVS-GGOV-GUJ-NUR-GEN-HEALTH-2027,GVS_TRUST_GGOV_GVS_GUJ_NUR_GEN,GGOV,GVS,GUJ,NUR,GEN,HEALTH,Health and Hygiene,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Nursery - General - Health and Hygiene - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-LKG-GEN-FLIT-2027,Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Foundational Literacy - 2027-2028,GVS-GGOV-GUJ-LKG-GEN-FLIT-27,GVS-GGOV-GUJ-LKG-GEN-FLIT-2027,GVS_TRUST_GGOV_GVS_GUJ_LKG_GEN,GGOV,GVS,GUJ,LKG,GEN,FLIT,Foundational Literacy,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Foundational Literacy - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-LKG-GEN-FNUM-2027,Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Foundational Numeracy - 2027-2028,GVS-GGOV-GUJ-LKG-GEN-FNUM-27,GVS-GGOV-GUJ-LKG-GEN-FNUM-2027,GVS_TRUST_GGOV_GVS_GUJ_LKG_GEN,GGOV,GVS,GUJ,LKG,GEN,FNUM,Foundational Numeracy,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Foundational Numeracy - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-LKG-GEN-RHYM-2027,Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Rhymes and Stories - 2027-2028,GVS-GGOV-GUJ-LKG-GEN-RHYM-27,GVS-GGOV-GUJ-LKG-GEN-RHYM-2027,GVS_TRUST_GGOV_GVS_GUJ_LKG_GEN,GGOV,GVS,GUJ,LKG,GEN,RHYM,Rhymes and Stories,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Rhymes and Stories - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-LKG-GEN-PLAY-2027,Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Play and Activity - 2027-2028,GVS-GGOV-GUJ-LKG-GEN-PLAY-27,GVS-GGOV-GUJ-LKG-GEN-PLAY-2027,GVS_TRUST_GGOV_GVS_GUJ_LKG_GEN,GGOV,GVS,GUJ,LKG,GEN,PLAY,Play and Activity,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Play and Activity - 2027-2028. Division groups are created inside the course.
