course_code,course_shortname,cohort_code,role_shortname,group_name,group_idnumber,enrolment_method,status
GVS-GGOV-GUJ-NUR-GEN-FLIT-2027,GVS-GGOV-GUJ-NUR-GEN-FLIT-27,GVS-2027-GGOV-GUJ-NUR-GEN-A,student,Division A,GVS-GGOV-GUJ-NUR-GEN-FLIT-2027-A,cohort_sync,active
GVS-GGOV-GUJ-NUR-GEN-FLIT-2027,GVS-GGOV-GUJ-NUR-GEN-FLIT-27,GVS-2027-GGOV-GUJ-NUR-GEN-B,student,Division B,GVS-GGOV-GUJ-NUR-GEN-FLIT-2027-B,cohort_sync,active
GVS-GGOV-GUJ-NUR-GEN-FNUM-2027,GVS-GGOV-GUJ-NUR-GEN-FNUM-27,GVS-2027-GGOV-GUJ-NUR-GEN-A,student,Division A,GVS-GGOV-GUJ-NUR-GEN-FNUM-2027-A,cohort_sync,active
GVS-GGOV-GUJ-NUR-GEN-FNUM-2027,GVS-GGOV-GUJ-NUR-GEN-FNUM-27,GVS-2027-GGOV-GUJ-NUR-GEN-B,student,Division B,GVS-GGOV-GUJ-NUR-GEN-FNUM-2027-B,cohort_sync,active
GVS-GGOV-GUJ-NUR-GEN-RHYM-2027,GVS-GGOV-GUJ-NUR-GEN-RHYM-27,GVS-2027-GGOV-GUJ-NUR-GEN-A,student,Division A,GVS-GGOV-GUJ-NUR-GEN-RHYM-2027-A,cohort_sync,active
GVS-GGOV-GUJ-NUR-GEN-RHYM-2027,GVS-GGOV-GUJ-NUR-GEN-RHYM-27,GVS-2027-GGOV-GUJ-NUR-GEN-B,student,Division B,GVS-GGOV-GUJ-NUR-GEN-RHYM-2027-B,cohort_sync,active
GVS-GGOV-GUJ-NUR-GEN-PLAY-2027,GVS-GGOV-GUJ-NUR-GEN-PLAY-27,GVS-2027-GGOV-GUJ-NUR-GEN-A,student,Division A,GVS-GGOV-GUJ-NUR-GEN-PLAY-2027-A,cohort_sync,active
GVS-GGOV-GUJ-NUR-GEN-PLAY-2027,GVS-GGOV-GUJ-NUR-GEN-PLAY-27,GVS-2027-GGOV-GUJ-NUR-GEN-B,student,Division B,GVS-GGOV-GUJ-NUR-GEN-PLAY-2027-B,cohort_sync,active
GVS-GGOV-GUJ-NUR-GEN-ARTC-2027,GVS-GGOV-GUJ-NUR-GEN-ARTC-27,GVS-2027-GGOV-GUJ-NUR-GEN-A,student,Division A,GVS-GGOV-GUJ-NUR-GEN-ARTC-2027-A,cohort_sync,active
GVS-GGOV-GUJ-NUR-GEN-ARTC-2027,GVS-GGOV-GUJ-NUR-GEN-ARTC-27,GVS-2027-GGOV-GUJ-NUR-GEN-B,student,Division B,GVS-GGOV-GUJ-NUR-GEN-ARTC-2027-B,cohort_sync,active
GVS-GGOV-GUJ-NUR-GEN-HEALTH-2027,GVS-GGOV-GUJ-NUR-GEN-HEALTH-27,GVS-2027-GGOV-GUJ-NUR-GEN-A,student,Division A,GVS-GGOV-GUJ-NUR-GEN-HEALTH-2027-A,cohort_sync,active
GVS-GGOV-GUJ-NUR-GEN-HEALTH-2027,GVS-GGOV-GUJ-NUR-GEN-HEALTH-27,GVS-2027-GGOV-GUJ-NUR-GEN-B,student,Division B,GVS-GGOV-GUJ-NUR-GEN-HEALTH-2027-B,cohort_sync,active
GVS-GGOV-GUJ-LKG-GEN-FLIT-2027,GVS-GGOV-GUJ-LKG-GEN-FLIT-27,GVS-2027-GGOV-GUJ-LKG-GEN-A,student,Division A,GVS-GGOV-GUJ-LKG-GEN-FLIT-2027-A,cohort_sync,active
GVS-GGOV-GUJ-LKG-GEN-FLIT-2027,GVS-GGOV-GUJ-LKG-GEN-FLIT-27,GVS-2027-GGOV-GUJ-LKG-GEN-B,student,Division B,GVS-GGOV-GUJ-LKG-GEN-FLIT-2027-B,cohort_sync,active
GVS-GGOV-GUJ-LKG-GEN-FNUM-2027,GVS-GGOV-GUJ-LKG-GEN-FNUM-27,GVS-2027-GGOV-GUJ-LKG-GEN-A,student,Division A,GVS-GGOV-GUJ-LKG-GEN-FNUM-2027-A,cohort_sync,active
GVS-GGOV-GUJ-LKG-GEN-FNUM-2027,GVS-GGOV-GUJ-LKG-GEN-FNUM-27,GVS-2027-GGOV-GUJ-LKG-GEN-B,student,Division B,GVS-GGOV-GUJ-LKG-GEN-FNUM-2027-B,cohort_sync,active
GVS-GGOV-GUJ-LKG-GEN-RHYM-2027,GVS-GGOV-GUJ-LKG-GEN-RHYM-27,GVS-2027-GGOV-GUJ-LKG-GEN-A,student,Division A,GVS-GGOV-GUJ-LKG-GEN-RHYM-2027-A,cohort_sync,active
GVS-GGOV-GUJ-LKG-GEN-RHYM-2027,GVS-GGOV-GUJ-LKG-GEN-RHYM-27,GVS-2027-GGOV-GUJ-LKG-GEN-B,student,Division B,GVS-GGOV-GUJ-LKG-GEN-RHYM-2027-B,cohort_sync,active
