subject_code,subject_name,subject_category,notes
FLIT,Foundational Literacy,Foundation,Core literacy readiness
FNUM,Foundational Numeracy,Foundation,Core numeracy readiness
RHYM,Rhymes and Stories,Foundation,Language development
PLAY,Play and Activity,Foundation,Activity-based learning
ARTC,Art and Craft,Co-curricular,Creative activity
HEALTH,Health and Hygiene,Co-curricular,Health habits
GUJ,Gujarati,Language,First/second/third language as applicable
ENG,English,Language,First/second language as applicable
HIN,Hindi,Language,First/second/third language as applicable
SAN,Sanskrit,Language,Optional/classical language
MAR,Marathi,Language,Optional language
URD,Urdu,Language,Optional language
TAM,Tamil,Language,Optional language
FRE,French,Language,CBSE optional language
GER,German,Language,CBSE optional language
SPA,Spanish,Language,CBSE optional language
MATH,Mathematics,Core,Mathematics
AMATH,Applied Mathematics,Core/Elective,Senior secondary elective
EVS,Environmental Studies,Core,Primary EVS
SCI,Science,Core,General science
SS,Social Science,Core,Social Science
COMP,Computer Studies,Core/Elective,Computer basics/studies
AI,Artificial Intelligence,Skill/Elective,AI/skill subject where offered
HPE,Health and Physical Education,Co-curricular,HPE
VALUE,Value Education / Moral Science,Co-curricular,Values and life skills
WORKEX,Work Experience,Co-curricular,Work education
ARTEDU,Art Education,Co-curricular,Art education
NCC,National Cadet Corps,Elective,NCC where offered
PHY,Physics,Science,Senior secondary science
CHEM,Chemistry,Science,Senior secondary science
BIO,Biology,Science,Senior secondary science
BIOTECH,Biotechnology,Science/Elective,Senior secondary elective
ENGGFX,Engineering Graphics,Science/Elective,Senior secondary elective
CS,Computer Science,Science/Elective,Senior secondary elective
IP,Informatics Practices,Science/Commerce/Elective,Senior secondary elective
ACC,Accountancy,Commerce,Commerce core
BST,Business Studies,Commerce,Commerce core
BADMIN,Business Administration / Management,Commerce,State board commerce subject
ECO,Economics,Commerce/Humanities,Economics
STAT,Statistics,Commerce/Elective,Statistics
ENT,Entrepreneurship,Commerce/Elective,Entrepreneurship
BKACC,Elements of Book Keeping and Accountancy,Commerce/Elective,Secondary optional
EOB,Elements of Business,Commerce/Elective,Secondary optional
HIST,History,Humanities,History
GEO,Geography,Humanities,Geography
POLSCI,Political Science,Humanities,Political Science
SOC,Sociology,Humanities,Sociology
PSY,Psychology,Humanities,Psychology
PHIL,Philosophy,Humanities,Philosophy
HOMESCI,Home Science,Humanities/Elective,Home Science
LEGAL,Legal Studies,Humanities/Elective,Legal Studies
FINEART,Fine Arts / Painting,Arts/Elective,Fine arts
MUSIC,Music,Arts/Elective,Vocal/instrumental
DANCE,Dance,Arts/Elective,Dance
ITITES,Information Technology / IT-ITES,Vocational,Vocational IT
RETAIL,Retail,Vocational,Vocational Retail
HEALTHCARE,Healthcare,Vocational,Vocational Healthcare
TOURISM,Tourism and Hospitality,Vocational,Vocational Tourism
AGRI,Agriculture,Vocational,Vocational Agriculture
BANKING,Banking and Insurance,Vocational,Vocational Banking
AUTO,Automotive,Vocational,Vocational Automotive
ELECT,Electronics and Hardware,Vocational,Vocational Electronics
BEAUTY,Beauty and Wellness,Vocational,Vocational Beauty and Wellness
