metric,value
Boards,4
Mediums,7
Grades,16
Streams,5
Subjects,63
Grade-subject matrix rows,2882
Moodle categories,461
Moodle courses,2882
Cohorts,528
Groups,5764
Cohort enrolment mappings,5764
Next-year courses,2882
Next-year cohorts,528
Next-year groups,5764
Next-year enrolments,5764
Student sample users,6
Staff sample users,5
Parent sample users,6
User profile fields,91
Academic rollover files added,9
Additional promotion profile fields,14
moodle_compatibility,Moodle 5.0.2 and Moodle 5.2/docs branch 502 core-feature compatible; run preflight before import
new_checks,cli_moodle502_preflight.php and cli_validate_school_baseline.php included
Master course templates,1
Template sections,13
Template activity patterns,60
Template gradebook categories,5
Template application rows,2882
Moodle upload rows with templatecourse,2882
Grade-band adjustment rows,5
Subject adjustment rows,9
